PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
44	0.00764581919	0.00129690453	0.00034587942	0.00764581919	0.02010663040	0.00972593437	0.005860	0.004470	0.004156	0.001122	0.003775	0.005617	0.005860	0.004470	0.004156	0.001122	0.003775	0.005617	0.005860	0.004470	0.004156	0.001122	0.003775	0.005617	1	5	5.06127802230565e-05	0.00779449785	0.00649339844555303	0.912729222853219	0.019083	0.003670	0.002387	0.006400	0.022912	0.008352	0.019499	0.003457	0.004398	0.005361	0.015993	0.011727	0.012767	0.000690	0.002404	0.014328	0.038855	0.024074	0.041275	0.018119	0.018377	0.024722	0.038177	0.031079
79	0.01425421717	0.00161830612	0.00161830612	0.00720195074	0.00720195074	0.00720195074	0.003085	0.002013	0.003355	0.003202	0.006529	0.002916	0.003085	0.002013	0.003355	0.003202	0.006529	0.002916	0.003085	0.002013	0.003355	0.003202	0.006529	0.002916	1	3	2.1853280166029e-05	0.006516113605	0.0033537291537183	0.71741370581755	0.030711	0.005041	0.002490	0.005398	0.009462	0.007960	0.022940	0.005186	0.006158	0.004021	0.009680	0.009472	0.039557	0.004184	0.003333	0.013699	0.004709	0.022544	0.044826	0.022204	0.021758	0.021400	0.029633	0.027908
114	0.01893119634	0.00784431585	0.01369876633	0.00082810935	0.00784431585	0.00082810935	0.007553	0.003243	0.004179	0.003327	0.005912	0.009467	0.007553	0.003243	0.004179	0.003327	0.005912	0.009467	0.007553	0.003243	0.004179	0.003327	0.005912	0.009467	1	4	5.08475032195136e-05	0.00832913551166667	0.0061047755974544	0.856120483935559	0.033906	0.007436	0.010189	0.003505	0.016040	0.011132	0.025234	0.006915	0.011436	0.005361	0.013468	0.010825	0.037692	0.010860	0.032041	0.003611	0.013583	0.003982	0.047053	0.025655	0.029712	0.024722	0.035001	0.029850
51	0.01344245877	0.00352248502	0.00098972952	0.00098972952	0.01344245877	0.00098972952	0.011255	0.003367	0.005165	0.003196	0.007539	0.003446	0.011255	0.003367	0.005165	0.003196	0.007539	0.003446	0.011255	0.003367	0.005165	0.003196	0.007539	0.003446	1	3	3.82159701437518e-05	0.00556276518666667	0.00686995924892735	1.11130102889287	0.029246	0.009512	0.001976	0.008398	0.017281	0.002717	0.036704	0.006915	0.002639	0.006433	0.014730	0.003608	0.016909	0.013726	0.000000	0.003544	0.022509	0.001016	0.056986	0.025655	0.014225	0.027091	0.036622	0.017187
17	0.00877508800	0.00062943577	0.00296647934	0.00296647934	0.02088142082	0.02088142082	0.009734	0.002047	0.002893	0.002022	0.005119	0.003803	0.009734	0.002047	0.002893	0.002022	0.005119	0.003803	0.009734	0.002047	0.002893	0.002022	0.005119	0.003803	1	4	8.47315987744559e-05	0.00951672068166667	0.0089034449584809	0.967242515150671	0.034416	0.002816	0.005698	0.004174	0.024774	0.012080	0.025234	0.003457	0.006158	0.004825	0.016834	0.014433	0.046766	0.000346	0.005938	0.009212	0.044003	0.043218	0.047053	0.018119	0.021758	0.023449	0.039181	0.034515
29	0.01829959497	0.00250528927	0.01542134957	0.00250528927	0.01542134957	0.01542134957	0.004015	0.003473	0.006188	0.003996	0.005555	0.001392	0.004015	0.003473	0.006188	0.003996	0.005555	0.001392	0.004015	0.003473	0.006188	0.003996	0.005555	0.001392	1	3	5.08240252292462e-05	0.0115957037033333	0.0043830048205385	0.614805040394448	0.032308	0.006537	0.008008	0.004218	0.018302	0.009088	0.022940	0.006050	0.008797	0.006165	0.014309	0.009923	0.039358	0.004552	0.005818	0.002545	0.028028	0.032101	0.044826	0.023991	0.026033	0.026518	0.036090	0.028569
104	0.00902425222	0.00042013733	0.00162334596	0.00902425222	0.00902425222	0.00042013733	0.010268	0.004522	0.005295	0.002380	0.003788	0.008304	0.010268	0.004522	0.005295	0.002380	0.003788	0.008304	0.010268	0.004522	0.005295	0.002380	0.003788	0.008304	1	3	2.03800140221484e-05	0.00492272954666667	0.00413998246886189	0.917056857656191	0.017153	0.004187	0.005724	0.005556	0.015213	0.008103	0.020646	0.004322	0.006158	0.005093	0.009680	0.009472	0.012279	0.000106	0.004982	0.012110	0.026241	0.003710	0.042489	0.020264	0.021758	0.024094	0.029633	0.027908
25	0.01512436216	0.00502388840	0.00710473977	0.00710473977	0.00502388840	0.01512436216	0.005686	0.002159	0.002746	0.003855	0.002107	0.003299	0.005686	0.002159	0.002746	0.003855	0.002107	0.003299	0.005686	0.002159	0.002746	0.003855	0.002107	0.003299	1	3	2.27551807838225e-05	0.00908433011	0.00250488263947758	0.525106310770266	0.037556	0.005854	0.006545	0.004226	0.009585	0.011354	0.029822	0.003457	0.006158	0.006165	0.008417	0.014433	0.036396	0.010052	0.011140	0.008880	0.011258	0.039040	0.051238	0.018119	0.021758	0.026518	0.027620	0.034515
85	0.00617004903	0.00617004903	0.00760144272	0.00617004903	0.00617004903	0.00760144272	0.005735	0.005664	0.006622	0.001486	0.005566	0.005943	0.005735	0.005664	0.006622	0.001486	0.005566	0.005943	0.005735	0.005664	0.006622	0.001486	0.005566	0.005943	1	2	5.46370105539162e-07	0.00664718026	8.21957708634732e-05	0.111200312641768	0.022833	0.005951	0.008290	0.005046	0.010228	0.014972	0.025234	0.007779	0.011436	0.003753	0.010101	0.011276	0.017974	0.004366	0.020557	0.004788	0.012640	0.008639	0.047053	0.027220	0.029712	0.020672	0.030275	0.030471
102	0.02360774726	0.00283714092	0.00106212139	0.00118911829	0.00118911829	0.00283714092	0.008722	0.003648	0.003877	0.004488	0.011286	0.006820	0.008722	0.003648	0.003877	0.004488	0.011286	0.006820	0.008722	0.003648	0.003877	0.004488	0.011286	0.006820	1	4	7.97842943522169e-05	0.00545373117833333	0.0146293045519341	1.63781550032208	0.027404	0.008426	0.005287	0.007322	0.018914	0.006811	0.024087	0.007779	0.004398	0.008846	0.020201	0.009923	0.028944	0.002771	0.004419	0.006820	0.000000	0.005098	0.045952	0.027220	0.018377	0.031793	0.042973	0.028569
58	0.01373879692	0.01373879692	0.01167474137	0.00300566415	0.01024186941	0.01024186941	0.005338	0.002520	0.004308	0.002315	0.006770	0.003127	0.005338	0.002520	0.004308	0.002315	0.006770	0.003127	0.005338	0.002520	0.004308	0.002315	0.006770	0.003127	1	4	1.5727313795606e-05	0.0104402896966667	0.00150640588073216	0.379852270267369	0.026151	0.010184	0.008187	0.002969	0.019054	0.008744	0.021793	0.006050	0.009677	0.003217	0.014730	0.009923	0.030474	0.016265	0.025019	0.003189	0.026352	0.023639	0.043672	0.023991	0.027313	0.019135	0.036622	0.028569
1	0.04089115918	0.00705660101	0.00541403448	0.00848492257	0.01576632194	0.01389644485	0.007325	0.004979	0.004413	0.000725	0.003318	0.002487	0.007325	0.004979	0.004413	0.000725	0.003318	0.002487	0.007325	0.004979	0.004413	0.000725	0.003318	0.002487	1	6	0.000173842401269327	0.0152515806716667	0.0113983202798304	0.864496023354173	0.038943	0.005911	0.003362	0.004227	0.015890	0.007139	0.026381	0.005186	0.004398	0.002949	0.011784	0.010825	0.059161	0.007795	0.005594	0.011303	0.025259	0.030458	0.048131	0.022204	0.018377	0.018319	0.032721	0.029850
47	0.02271593810	0.00443581280	0.00443581280	0.00443581280	0.02271593810	0.02271593810	0.008364	0.002901	0.002137	0.001007	0.006635	0.006683	0.008364	0.002901	0.002137	0.001007	0.006635	0.006683	0.008364	0.002901	0.002137	0.001007	0.006635	0.006683	1	2	0.00010024889429511	0.01357587545	0.00738434104410629	0.737516856110439	0.026739	0.006304	0.007700	0.001697	0.022263	0.013409	0.022940	0.006915	0.005278	0.001340	0.019781	0.013531	0.032544	0.006602	0.001398	0.001923	0.030097	0.029655	0.044826	0.025655	0.020137	0.012344	0.042516	0.033407
23	0.02290992465	0.00256457421	0.00256457421	0.00256457421	0.01149835264	0.01245837224	0.010243	0.003095	0.004386	0.007347	0.003681	0.004471	0.010243	0.003095	0.004386	0.007347	0.003681	0.004471	0.010243	0.003095	0.004386	0.007347	0.003681	0.004471	1	4	6.71759774738098e-05	0.00909339536	0.00738733716223351	0.90132397561691	0.021557	0.005831	0.005980	0.003308	0.012151	0.009861	0.021793	0.004322	0.008797	0.005629	0.010101	0.012178	0.031147	0.005226	0.016350	0.001478	0.018162	0.024533	0.043672	0.020264	0.026033	0.025335	0.030275	0.031677
8	0.00394558555	0.00294300879	0.00106716476	0.00294300879	0.00394558555	0.02432664718	0.008933	0.003863	0.003001	0.004718	0.005347	0.003940	0.008933	0.003863	0.003001	0.004718	0.005347	0.003940	0.008933	0.003863	0.003001	0.004718	0.005347	0.003940	1	4	7.7130922838124e-05	0.00652850010333333	0.0118144936229291	1.34524333324144	0.015144	0.003829	0.003260	0.004999	0.011683	0.011704	0.022940	0.003457	0.003519	0.004557	0.008838	0.013982	0.006263	0.003324	0.007148	0.005520	0.011680	0.027893	0.044826	0.018119	0.016431	0.022786	0.028306	0.033965
99	0.00006602176	0.00006602176	0.00522616278	0.00006602176	0.00332017883	0.00332017883	0.008740	0.003394	0.002621	0.003659	0.006382	0.005409	0.008740	0.003394	0.002621	0.003659	0.006382	0.005409	0.008740	0.003394	0.002621	0.003659	0.006382	0.005409	1	3	5.0227981697187e-06	0.00201076428666667	0.00249795473443843	1.1145811670925	0.025296	0.005063	0.006160	0.003562	0.004893	0.009273	0.022940	0.004322	0.007037	0.004825	0.009680	0.015787	0.000000	0.000950	0.025974	0.000000	0.000042	0.024107	0.044826	0.020264	0.023269	0.023449	0.029633	0.036115
52	0.00174762001	0.00660792480	0.00660792480	0.00174762001	0.00431440609	0.02495914331	0.009852	0.001426	0.003047	0.002666	0.006307	0.001419	0.009852	0.001426	0.003047	0.002666	0.006307	0.001419	0.009852	0.001426	0.003047	0.002666	0.006307	0.001419	1	4	7.65158910871088e-05	0.00766410650333333	0.00998366750955638	1.14133803128612	0.025540	0.004898	0.007597	0.002232	0.013067	0.008548	0.021793	0.003457	0.011436	0.002949	0.012626	0.010825	0.011077	0.007368	0.025154	0.004546	0.012283	0.038867	0.043672	0.018119	0.029712	0.018319	0.033879	0.029850
134	0.00987854284	0.00825872220	0.00987854284	0.00825872220	0.00023191859	0.00825872220	0.009194	0.001281	0.003317	0.002561	0.007900	0.003944	0.009194	0.001281	0.003317	0.002561	0.007900	0.003944	0.009194	0.001281	0.003317	0.002561	0.007900	0.003944	1	3	1.31715453618841e-05	0.00746086181166667	0.00176541875380771	0.486440100783139	0.021946	0.007351	0.004492	0.007059	0.006722	0.003877	0.026381	0.003457	0.004398	0.005629	0.008838	0.006766	0.006216	0.014337	0.007235	0.012545	0.000605	0.012242	0.048131	0.018119	0.018377	0.025335	0.028306	0.023562
35	0.00383653784	0.00659177640	0.00383653784	0.00484635997	0.01074548194	0.00659177640	0.007068	0.004840	0.002609	0.002790	0.007800	0.006670	0.007068	0.004840	0.002609	0.002790	0.007800	0.006670	0.007068	0.004840	0.002609	0.002790	0.007800	0.006670	1	4	6.7756997727862e-06	0.006074745065	0.00111538833321991	0.42849821815987	0.020636	0.004028	0.002721	0.009037	0.020001	0.008601	0.021793	0.005186	0.002639	0.008042	0.021464	0.012629	0.006395	0.002209	0.004236	0.011240	0.021508	0.009729	0.043672	0.022204	0.014225	0.030305	0.044315	0.032264
40	0.02047087078	0.00422723970	0.00422723970	0.00712327552	0.00718870639	0.00712327552	0.008600	0.007225	0.001630	0.003227	0.006113	0.001838	0.008600	0.007225	0.001630	0.003227	0.006113	0.001838	0.008600	0.007225	0.001630	0.003227	0.006113	0.001838	1	4	3.70513605617055e-05	0.00839343460166667	0.00441432647302075	0.725207637547148	0.022434	0.002987	0.006288	0.006547	0.011280	0.008172	0.026381	0.003457	0.007037	0.010990	0.013047	0.007668	0.021822	0.002865	0.010058	0.006351	0.006468	0.020692	0.048131	0.018119	0.023269	0.035464	0.034445	0.025093
21	0.00839167270	0.00320186224	0.00320186224	0.00320186224	0.00839167270	0.02248672859	0.010375	0.006351	0.007528	0.001808	0.007236	0.006458	0.010375	0.006351	0.007528	0.001808	0.007236	0.006458	0.010375	0.006351	0.007528	0.001808	0.007236	0.006458	1	3	5.58221402386963e-05	0.00814594345166667	0.00685275322249813	0.917195363777128	0.027016	0.004802	0.003953	0.006144	0.013860	0.013160	0.025234	0.009508	0.006158	0.004825	0.012205	0.017591	0.013042	0.002079	0.003827	0.008694	0.018573	0.036970	0.047053	0.030112	0.021758	0.023449	0.033305	0.038149
23	0.02217001089	0.00051935759	0.00051935759	0.00051935759	0.01057356731	0.00255867693	0.009344	0.001664	0.002298	0.001960	0.006652	0.004010	0.009344	0.001664	0.002298	0.001960	0.006652	0.004010	0.009344	0.001664	0.002298	0.001960	0.006652	0.004010	1	4	7.68436875180438e-05	0.00614338798333333	0.0125083565821524	1.42690859767718	0.025551	0.001980	0.002105	0.002636	0.015716	0.003871	0.022940	0.003457	0.002639	0.003485	0.011784	0.005864	0.029627	0.001083	0.000788	0.001455	0.019740	0.008924	0.044826	0.018119	0.014225	0.019919	0.032721	0.021928
20	0.01243026344	0.00411774499	0.00806823433	0.01261633185	0.01448174971	0.01261633185	0.005668	0.004016	0.001817	0.003166	0.006270	0.005580	0.005668	0.004016	0.001817	0.003166	0.006270	0.005580	0.005668	0.004016	0.001817	0.003166	0.006270	0.005580	1	5	1.49779048691071e-05	0.0107217760283333	0.00139696117784279	0.360959771556989	0.022545	0.006622	0.007520	0.006023	0.018029	0.007266	0.020646	0.006050	0.007917	0.006701	0.013888	0.009923	0.021770	0.005584	0.017949	0.012406	0.025055	0.009016	0.042489	0.023991	0.024688	0.027652	0.035549	0.028569
12	0.01595653183	0.00021000956	0.00333767153	0.00144688713	0.01595653183	0.00631405124	0.004011	0.004403	0.002126	0.005197	0.004326	0.004802	0.004011	0.004403	0.002126	0.005197	0.004326	0.004802	0.004011	0.004403	0.002126	0.005197	0.004326	0.004802	1	5	5.0202876296352e-05	0.00720361385333333	0.00696912373684794	0.983589480812235	0.034516	0.001172	0.006853	0.003567	0.021938	0.006826	0.021793	0.003457	0.004398	0.005629	0.015151	0.011276	0.049891	0.000009	0.003147	0.000829	0.036637	0.008909	0.043672	0.018119	0.018377	0.025335	0.037147	0.030471
5	0.02847400547	0.00488537496	0.00392845469	0.00527046088	0.01074239231	0.01074239231	0.002962	0.001808	0.004168	0.001605	0.004174	0.005228	0.002962	0.001808	0.004168	0.001605	0.004174	0.005228	0.002962	0.001808	0.004168	0.001605	0.004174	0.005228	1	5	8.50116692023272e-05	0.01067384677	0.00796448281806534	0.86381016006706	0.039653	0.010195	0.005929	0.005318	0.016724	0.010152	0.025234	0.005186	0.006158	0.004825	0.012626	0.011727	0.057201	0.017289	0.007692	0.010100	0.023315	0.020204	0.047053	0.022204	0.021758	0.023449	0.033879	0.031079
