what	PRI.div.model	PRI.Psi	PRI.E.t	PRI.omega	PRI.cv
mode	19.9189	3.98298	0.00468962	0.00493281	1.04489
mean	0.239275	0.722978	0.254179	0.26703	0.544622
median	32.243	3.73582	0.00473761	0.00861589	1.10562
quantile_50_lower_bound	17.0402	2.95902	0.003769	0.00503939	0.882559
quantile_50_upper_bound	60.1129	4.16108	0.0057215	0.012517	1.33466
quantile_90_lower_bound	4.78201	1.99991	0.00249884	0.00195326	0.547742
quantile_90_upper_bound	112.776	5.11608	0.00712744	0.0178813	1.63234
quantile_95_lower_bound	2.9529	1.78781	0.00221713	0.00123972	0.351847
quantile_95_upper_bound	138.278	5.24459	0.00759254	0.0234325	1.76753
quantile_99_lower_bound	1.34144	1.12238	0.00192676	0.000338444	0.0389645
quantile_99_upper_bound	164.818	5.66609	0.00858214	0.02691	1.94425
HPD_50_lower_bound	2.8018	2.77675	0.00374978	0.00334146	0.91554
HPD_50_upper_bound	33.7928	4.20323	0.0056859	0.0108706	1.36219
HPD_90_lower_bound	1	1.85081	0.0023579	0.00117363	0.567918
HPD_90_upper_bound	92.1712	5.28933	0.00692727	0.0165914	1.64716
HPD_95_lower_bound	1	1.74072	0.00196215	0.000138758	0.0161156
HPD_95_upper_bound	112.712	5.34937	0.00722895	0.0180057	1.79879
HPD_99_lower_bound	1	0.999969	0.00184974	-1.12234e-05	-2.23212e-05
HPD_99_upper_bound	155.595	5.99503	0.00815038	0.0273314	1.99076
