divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,2,0,3	0.016	0.0179220285413	0:0.0170447357[&age_median=0.0170447357,age_mean=0.0187317111012,age_n=16,age_range={0.01058100109,0.02832163234},age_hpdi_95={0.01058100109,0.02832163234},age_qi_95={0.010599000295,0.0282550820725}],1:0.002555278105[&age_median=0.002555278105,age_mean=0.00307912019437,age_n=16,age_range={0.00013130632,0.00885120197},age_hpdi_95={0.00013130632,0.00885120197},age_qi_95={0.00019469822875,0.0077261027}],2:0.00380285869[&age_median=0.00380285869,age_mean=0.00405031967813,age_n=16,age_range={0.00132192426,0.00731945784},age_hpdi_95={0.00132192426,0.00731945784},age_qi_95={0.00156263173125,0.00721225642125}],3:0.01157966983[&age_median=0.01157966983,age_mean=0.0118930775944,age_n=16,age_range={0.00054827954,0.02112294639},age_hpdi_95={0.00054827954,0.02112294639},age_qi_95={0.00143111856875,0.0203699053163}]
0,1,2,3,0,4	0.016	0.0150934092345	0:0.01825103122[&age_median=0.01825103122,age_mean=0.0180116141669,age_n=16,age_range={0.00351251988,0.03391519149},age_hpdi_95={0.00351251988,0.03391519149},age_qi_95={0.00515081366625,0.0310958839575}],1:0.004540716735[&age_median=0.004540716735,age_mean=0.00685398677313,age_n=16,age_range={0.00021000956,0.02626277308},age_hpdi_95={0.00021000956,0.02626277308},age_qi_95={0.00061454424875,0.0243005705313}],2:0.00622504297[&age_median=0.00622504297,age_mean=0.00761635101312,age_n=16,age_range={0.00128290035,0.02017404116},age_hpdi_95={0.00128290035,0.02017404116},age_qi_95={0.001283322465,0.01822790216}],3:0.002160159385[&age_median=0.002160159385,age_mean=0.00373812753437,age_n=16,age_range={0.00051782256,0.01722328891},age_hpdi_95={0.00051782256,0.01722328891},age_qi_95={0.0005203309875,0.0148123835875}],4:0.00986167097[&age_median=0.00986167097,age_mean=0.0115324719256,age_n=16,age_range={0.00257901364,0.02231200248},age_hpdi_95={0.00257901364,0.02231200248},age_qi_95={0.00360440430625,0.02176064178}]
0,1,0,2,3,4	0.016	0.0182671599106	0:0.011298128435[&age_median=0.011298128435,age_mean=0.0120897298087,age_n=16,age_range={0.00419284218,0.02106201583},age_hpdi_95={0.00419284218,0.02106201583},age_qi_95={0.0049359994725,0.0204730508987}],1:0.00282367937[&age_median=0.00282367937,age_mean=0.00324415449375,age_n=16,age_range={7.262923e-05,0.00775671704},age_hpdi_95={7.262923e-05,0.00775671704},age_qi_95={0.00012934168375,0.0076174594775}],2:0.004428873425[&age_median=0.004428873425,age_mean=0.00445237043,age_n=16,age_range={0.0004623817,0.01022350817},age_hpdi_95={0.0004623817,0.01022350817},age_qi_95={0.00047359492,0.010211436095}],3:0.01131462542[&age_median=0.01131462542,age_mean=0.0118628902969,age_n=16,age_range={0.00569489553,0.02514181318},age_hpdi_95={0.00569489553,0.02514181318},age_qi_95={0.0057789264375,0.023587853695}],4:0.0111928008[&age_median=0.0111928008,age_mean=0.0112008391138,age_n=16,age_range={0.00314464249,0.01819758934},age_hpdi_95={0.00314464249,0.01819758934},age_qi_95={0.0035300524975,0.0176827044812}]
0,1,1,1,2,2	0.015	0.0153305284345	0:0.02333214361[&age_median=0.02333214361,age_mean=0.023995720544,age_n=15,age_range={0.00532655865,0.03806842872},age_hpdi_95={0.00532655865,0.03806842872},age_qi_95={0.00682720066,0.0372731636865}],1:0.00297673471[&age_median=0.00297673471,age_mean=0.00296191314467,age_n=15,age_range={0.00037846517,0.00649754848},age_hpdi_95={0.00037846517,0.00649754848},age_qi_95={0.0005081397955,0.0062493566165}],2:0.01205649107[&age_median=0.01205649107,age_mean=0.011405050752,age_n=15,age_range={0.00110921555,0.02303838377},age_hpdi_95={0.00110921555,0.02303838377},age_qi_95={0.0016578465,0.020584504769}]
0,1,2,1,2,3	0.015	0.0185046210921	0:0.01071685143[&age_median=0.01071685143,age_mean=0.0136444077213,age_n=15,age_range={0.00319603022,0.02621591047},age_hpdi_95={0.00319603022,0.02621591047},age_qi_95={0.004053278934,0.0257101257115}],1:0.00108652005[&age_median=0.00108652005,age_mean=0.00249582262333,age_n=15,age_range={0.00015584194,0.0095045737},age_hpdi_95={0.00015584194,0.0095045737},age_qi_95={0.00015788664,0.0084454960755}],2:0.00941221619[&age_median=0.00941221619,age_mean=0.0103173360527,age_n=15,age_range={0.00073431534,0.02055559292},age_hpdi_95={0.00073431534,0.02055559292},age_qi_95={0.00104403545,0.020214427662}],3:0.01034669629[&age_median=0.01034669629,age_mean=0.0114314937753,age_n=15,age_range={0.00405622593,0.02462106638},age_hpdi_95={0.00405622593,0.02462106638},age_qi_95={0.0040604232525,0.0230019554635}]
0,1,2,3,2,4	0.014	0.0186029677832	0:0.02182892544[&age_median=0.02182892544,age_mean=0.02078469898,age_n=14,age_range={0.00887162382,0.03106250306},age_hpdi_95={0.00887162382,0.03106250306},age_qi_95={0.0091488192645,0.0303652308382}],1:0.00279746981[&age_median=0.00279746981,age_mean=0.00373698930857,age_n=14,age_range={8.043194e-05,0.01085783588},age_hpdi_95={8.043194e-05,0.01085783588},age_qi_95={0.000139217082,0.0102585832065}],2:0.01101117226[&age_median=0.01101117226,age_mean=0.0105117226436,age_n=14,age_range={0.00368244334,0.0184592865},age_hpdi_95={0.00368244334,0.0184592865},age_qi_95={0.0038158124785,0.0176701001117}],3:0.002577714465[&age_median=0.002577714465,age_mean=0.0039407241,age_n=14,age_range={9.121245e-05,0.01168009221},age_hpdi_95={9.121245e-05,0.01168009221},age_qi_95={0.0001334981805,0.0106488769242}],4:0.01117651978[&age_median=0.01117651978,age_mean=0.0110154132479,age_n=14,age_range={0.00140905889,0.01952337471},age_hpdi_95={0.00140905889,0.01952337471},age_qi_95={0.00233292746225,0.0194661081922}]
0,1,2,2,3,3	0.013	0.015563615852	0:0.01812967111[&age_median=0.01812967111,age_mean=0.0171463319692,age_n=13,age_range={0.0064495145,0.02984374193},age_hpdi_95={0.0064495145,0.02984374193},age_qi_95={0.006956436173,0.029601931223}],1:0.00202152661[&age_median=0.00202152661,age_mean=0.00368844006385,age_n=13,age_range={0.00032096425,0.01427423558},age_hpdi_95={0.00032096425,0.01427423558},age_qi_95={0.000413505706,0.013229534783}],2:0.00255235188[&age_median=0.00255235188,age_mean=0.00400459663692,age_n=13,age_range={0.00026561065,0.01410050476},age_hpdi_95={0.00026561065,0.01410050476},age_qi_95={0.000310943698,0.012247351048}],3:0.01487940672[&age_median=0.01487940672,age_mean=0.01506880446,age_n=13,age_range={0.00155281292,0.02291761898},age_hpdi_95={0.00155281292,0.02291761898},age_qi_95={0.002422179497,0.022753661783}]
0,1,2,3,3,4	0.013	0.018731570841	0:0.01106707549[&age_median=0.01106707549,age_mean=0.0131243403246,age_n=13,age_range={0.00165269482,0.02626732936},age_hpdi_95={0.00165269482,0.02626732936},age_qi_95={0.002912773663,0.024927420871}],1:0.00300994505[&age_median=0.00300994505,age_mean=0.00494398121154,age_n=13,age_range={6.907689e-05,0.01386385984},age_hpdi_95={6.907689e-05,0.01386385984},age_qi_95={0.000327068796,0.012672124096}],2:0.0022360675[&age_median=0.0022360675,age_mean=0.00499620144231,age_n=13,age_range={0.00057032791,0.01777361549},age_hpdi_95={0.00057032791,0.01777361549},age_qi_95={0.000576103525,0.017629283345}],3:0.00640882875[&age_median=0.00640882875,age_mean=0.00690266333077,age_n=13,age_range={0.0018627296,0.01398221372},age_hpdi_95={0.0018627296,0.01398221372},age_qi_95={0.002446150409,0.013544452481}],4:0.00893910587[&age_median=0.00893910587,age_mean=0.0117159524531,age_n=13,age_range={0.0014782259,0.02604922622},age_hpdi_95={0.0014782259,0.02604922622},age_qi_95={0.002100739931,0.024704320544}]
0,1,2,1,3,3	0.012	0.0156388337917	0:0.01813923822[&age_median=0.01813923822,age_mean=0.0200674350508,age_n=12,age_range={0.00437413067,0.04792638432},age_hpdi_95={0.00437413067,0.04792638432},age_qi_95={0.0057557095445,0.0424968317025}],1:0.00399201371[&age_median=0.00399201371,age_mean=0.00362648687583,age_n=12,age_range={0.00014032968,0.00737647746},age_hpdi_95={0.00014032968,0.00737647746},age_qi_95={0.000206948628,0.00733931433675}],2:0.00584585076[&age_median=0.00584585076,age_mean=0.00705816088417,age_n=12,age_range={0.00165813401,0.0143142869},age_hpdi_95={0.00165813401,0.0143142869},age_qi_95={0.002400963955,0.0135646250035}],3:0.011217077655[&age_median=0.011217077655,age_mean=0.0108392670667,age_n=12,age_range={0.00308572606,0.02588879389},age_hpdi_95={0.00308572606,0.02588879389},age_qi_95={0.0032295267775,0.0237695152835}]
0,1,2,3,4,3	0.012	0.0187751104906	0:0.016058635805[&age_median=0.016058635805,age_mean=0.0203223685775,age_n=12,age_range={0.00813792515,0.04645337044},age_hpdi_95={0.00813792515,0.04645337044},age_qi_95={0.008624301821,0.0418945075187}],1:0.003099535415[&age_median=0.003099535415,age_mean=0.00424231629667,age_n=12,age_range={0.00054190621,0.01360063068},age_hpdi_95={0.00054190621,0.01360063068},age_qi_95={0.00054604675025,0.0126179515567}],2:0.006443452585[&age_median=0.006443452585,age_mean=0.00758355251833,age_n=12,age_range={0.00159153523,0.01779084039},age_hpdi_95={0.00159153523,0.01779084039},age_qi_95={0.0016257892685,0.017310292773}],3:0.00396088943[&age_median=0.00396088943,age_mean=0.004621627445,age_n=12,age_range={5.885584e-05,0.01261633185},age_hpdi_95={5.885584e-05,0.01261633185},age_qi_95={0.00021822723625,0.011404167699}],4:0.01364063206[&age_median=0.01364063206,age_mean=0.0170562389808,age_n=12,age_range={0.00203888624,0.03519153937},age_hpdi_95={0.00203888624,0.03519153937},age_qi_95={0.00376922833425,0.03306345726}]
