PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
3	0.00780773169	0.00115417524	0.00115417524	0.00115417524	0.00780773169	0.00780773169	0.015628	0.005647	0.001560	0.003684	0.010574	0.006500	0.015628	0.005647	0.001560	0.003684	0.010574	0.006500	0.015628	0.005647	0.001560	0.003684	0.010574	0.006500	1	2	1.3280944030001e-05	0.004480953465	0.00296386564460807	0.813287391570579	0.031043	0.004671	0.003080	0.002389	0.021730	0.011937	0.033263	0.006050	0.005278	0.002949	0.021043	0.012629	0.018473	0.000594	0.002134	0.000504	0.010934	0.012397	0.054181	0.023991	0.020137	0.018319	0.043872	0.032264
84	0.00340461674	0.00061303577	0.00340461674	0.00061303577	0.00061303577	0.01669048784	0.015639	0.005496	0.006089	0.007305	0.011135	0.008989	0.015639	0.005496	0.006089	0.007305	0.011135	0.008989	0.015639	0.005496	0.006089	0.007305	0.011135	0.008989	1	3	3.9174656094449e-05	0.004223138105	0.00927619583363092	1.48206520855481	0.026028	0.003675	0.004389	0.003365	0.011615	0.010851	0.032116	0.004322	0.006158	0.005361	0.013888	0.015336	0.001446	0.000474	0.006944	0.000813	0.000812	0.017797	0.053217	0.020264	0.021758	0.024722	0.035549	0.035589
1	0.00286543652	0.00286543652	0.00286543652	0.00286543652	0.00286543652	0.00286543652	0.025619	0.005872	0.012192	0.004028	0.012659	0.010725	0.025619	0.005872	0.012192	0.004028	0.012659	0.010725	0.025619	0.005872	0.012192	0.004028	0.012659	0.010725	1	1	0	0.00286543652	0	0	0.022190	0.003533	0.004902	0.003168	0.015671	0.007282	0.027528	0.005186	0.007037	0.005629	0.018518	0.010825	0.002245	0.001335	0.006839	0.002529	0.002025	0.006684	0.049187	0.022204	0.023269	0.025335	0.041118	0.029850
1	0.00426299721	0.00426299721	0.00426299721	0.00426299721	0.00426299721	0.00426299721	0.014772	0.001971	0.010006	0.004132	0.012603	0.008936	0.014772	0.001971	0.010006	0.004132	0.012603	0.008936	0.014772	0.001971	0.010006	0.004132	0.012603	0.008936	1	1	0	0.00426299721	0	0	0.029246	0.002424	0.006494	0.005713	0.022242	0.007070	0.030969	0.002593	0.007917	0.007238	0.018939	0.013531	0.007445	0.003634	0.000000	0.005598	0.020093	0.009613	0.052236	0.015686	0.024688	0.028742	0.041589	0.033407
3	0.00791246587	0.00449263872	0.00449263872	0.00449263872	0.00791246587	0.00791246587	0.016178	0.005250	0.003177	0.003739	0.011525	0.010754	0.016178	0.005250	0.003177	0.003739	0.011525	0.010754	0.016178	0.005250	0.003177	0.003739	0.011525	0.010754	1	2	3.50856532076312e-06	0.006202552295	0.000565664770547996	0.30199124227192	0.026583	0.006844	0.006571	0.005720	0.016262	0.008992	0.034410	0.006050	0.007037	0.006165	0.017255	0.017140	0.009717	0.005880	0.004581	0.008892	0.016738	0.013538	0.055131	0.023991	0.023269	0.026518	0.039673	0.037650
61	0.00863698444	0.00587446463	0.00237468275	0.00237468275	0.00863698444	0.01110782779	0.017208	0.003000	0.005486	0.002577	0.009984	0.003229	0.017208	0.003000	0.005486	0.002577	0.009984	0.003229	0.017208	0.003000	0.005486	0.002577	0.009984	0.003229	1	4	1.29586511969007e-05	0.0065009378	0.00199335105112077	0.553737440983023	0.031376	0.003789	0.003901	0.005000	0.013648	0.010745	0.033263	0.003457	0.004398	0.004557	0.014730	0.010374	0.027870	0.002836	0.000000	0.009117	0.021721	0.023061	0.054181	0.018119	0.018377	0.022786	0.036622	0.029217
1	0.00995626436	0.00995626436	0.00995626436	0.00995626436	0.00995626436	0.00995626436	0.011604	0.001974	0.003964	0.003803	0.006054	0.005126	0.011604	0.001974	0.003964	0.003803	0.006054	0.005126	0.011604	0.001974	0.003964	0.003803	0.006054	0.005126	1	1	0	0.00995626436	0	0	0.033595	0.007351	0.006686	0.005195	0.014004	0.009893	0.036704	0.003457	0.008797	0.005093	0.015151	0.012178	0.014076	0.014337	0.023866	0.012337	0.013972	0.010432	0.056986	0.018119	0.026033	0.024094	0.037147	0.031677
1	0.00274921471	0.00274921471	0.00274921471	0.00274921471	0.00274921471	0.00274921471	0.023382	0.007864	0.005136	0.004576	0.006122	0.008203	0.023382	0.007864	0.005136	0.004576	0.006122	0.008203	0.023382	0.007864	0.005136	0.004576	0.006122	0.008203	1	1	0	0.00274921471	0	0	0.021014	0.003465	0.005878	0.008309	0.013023	0.009003	0.032116	0.005186	0.007917	0.006701	0.015572	0.015787	0.001437	0.000746	0.005489	0.006960	0.005418	0.009091	0.053217	0.022204	0.024688	0.027652	0.037665	0.036115
1	0.00408809781	0.00408809781	0.00408809781	0.00408809781	0.00408809781	0.00408809781	0.015795	0.004431	0.005732	0.001770	0.008180	0.005219	0.015795	0.004431	0.005732	0.001770	0.008180	0.005219	0.015795	0.004431	0.005732	0.001770	0.008180	0.005219	1	1	0	0.00408809781	0	0	0.021657	0.006856	0.008521	0.002638	0.016525	0.006472	0.028675	0.004322	0.007037	0.003753	0.016834	0.009472	0.003792	0.006130	0.001811	0.004475	0.014723	0.021172	0.050222	0.020264	0.023269	0.020672	0.039181	0.027908
33	0.02211159858	0.00056553114	0.00056553114	0.00056553114	0.00535575741	0.00535575741	0.025466	0.006924	0.007984	0.002019	0.007438	0.011603	0.025466	0.006924	0.007984	0.002019	0.007438	0.011603	0.025466	0.006924	0.007984	0.002019	0.007438	0.011603	1	3	6.97297699774135e-05	0.00575328447	0.0121199934300161	1.45142055119717	0.036236	0.003249	0.008572	0.002737	0.015921	0.008648	0.030969	0.006915	0.007037	0.003753	0.017255	0.012629	0.024024	0.000051	0.003020	0.002068	0.010476	0.003810	0.052236	0.025655	0.023269	0.020672	0.039673	0.032264
