divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,1,1,0	0.011	0.0145068412621	0:0.00657108609[&age_median=0.00657108609,age_mean=0.00640380126,age_n=11,age_range={0.00333094738,0.01106746534},age_hpdi_95={0.00333094738,0.01106746534},age_qi_95={0.003446998335,0.0103755636225}],1:0.00523652899[&age_median=0.00523652899,age_mean=0.00530678336,age_n=11,age_range={0.00034773847,0.00988127333},age_hpdi_95={0.00034773847,0.00988127333},age_qi_95={0.000789816475,0.0093568008525}]
0,0,1,1,0,1	0.01	0.0136129056685	0:0.008495354685[&age_median=0.008495354685,age_mean=0.008353710136,age_n=10,age_range={0.00286959571,0.01527603554},age_hpdi_95={0.00286959571,0.01527603554},age_qi_95={0.003126845023,0.0144825645103}],1:0.00115209373[&age_median=0.00115209373,age_mean=0.002722321275,age_n=10,age_range={0.00043331468,0.0108642623},age_hpdi_95={0.00043331468,0.0108642623},age_qi_95={0.00045076466975,0.0093774180335}]
0,0,0,0,1,0	0.01	0.0128316604731	0:0.002793467245[&age_median=0.002793467245,age_mean=0.002434792974,age_n=10,age_range={0.00036985111,0.00444377403},age_hpdi_95={0.00036985111,0.00444377403},age_qi_95={0.0005734142665,0.004154311611}],1:0.010335112935[&age_median=0.010335112935,age_mean=0.011625156407,age_n=10,age_range={0.00055169615,0.02233571687},age_hpdi_95={0.00055169615,0.02233571687},age_qi_95={0.001244301968,0.0222869173085}]
0,0,1,1,1,0	0.01	0.01412744537	0:0.006669372795[&age_median=0.006669372795,age_mean=0.007130834734,age_n=10,age_range={0.00212585041,0.01255082063},age_hpdi_95={0.00212585041,0.01255082063},age_qi_95={0.00288821771425,0.0120143033263}],1:0.002617764835[&age_median=0.002617764835,age_mean=0.002985372658,age_n=10,age_range={0.00096888831,0.00545155279},age_hpdi_95={0.00096888831,0.00545155279},age_qi_95={0.0009813526035,0.0053721461905}]
0,1,0,1,1,0	0.01	0.0114997938072	0:0.005497453625[&age_median=0.005497453625,age_mean=0.00626573034,age_n=10,age_range={0.00180372844,0.01372414022},age_hpdi_95={0.00180372844,0.01372414022},age_qi_95={0.00197830224325,0.01330737677}],1:0.003693291085[&age_median=0.003693291085,age_mean=0.003421796285,age_n=10,age_range={0.00019792078,0.00739537535},age_hpdi_95={0.00019792078,0.00739537535},age_qi_95={0.00029829112225,0.00694807820975}]
0,1,0,1,1,1	0.01	0.0110276534405	0:0.007336531835[&age_median=0.007336531835,age_mean=0.008966724511,age_n=10,age_range={0.00331891936,0.02067344392},age_hpdi_95={0.00331891936,0.02067344392},age_qi_95={0.00365680434175,0.0192498445638}],1:0.002323313625[&age_median=0.002323313625,age_mean=0.003430299649,age_n=10,age_range={0.00021343726,0.00853882916},age_hpdi_95={0.00021343726,0.00853882916},age_qi_95={0.000441095374,0.00845249705825}]
0,1,0,0,1,0	0.009	0.0106266345389	0:0.00250820355[&age_median=0.00250820355,age_mean=0.00255775186,age_n=9,age_range={0.00015514026,0.00659095054},age_hpdi_95={0.00015514026,0.00659095054},age_qi_95={0.000216057004,0.006095724264}],1:0.00323438365[&age_median=0.00323438365,age_mean=0.00354521931667,age_n=9,age_range={0.00075213472,0.00793361043},age_hpdi_95={0.00075213472,0.00793361043},age_qi_95={0.000771737788,0.007584265452}]
0,1,1,2,2,1	0.009	0.0102827505322	0:0.01690519365[&age_median=0.01690519365,age_mean=0.0193617810144,age_n=9,age_range={0.00673464639,0.03359821512},age_hpdi_95={0.00673464639,0.03359821512},age_qi_95={0.007123879532,0.033583839274}],1:0.00344668651[&age_median=0.00344668651,age_mean=0.00276986763222,age_n=9,age_range={0.00014342496,0.00476873382},age_hpdi_95={0.00014342496,0.00476873382},age_qi_95={0.00027656631,0.004583777044}],2:0.00358294666[&age_median=0.00358294666,age_mean=0.00356044637778,age_n=9,age_range={0.00043867766,0.00636737508},age_hpdi_95={0.00043867766,0.00636737508},age_qi_95={0.000570259814,0.006266877298}]
0,0,1,1,1,1	0.009	0.00998320346439	0:0.00567057856[&age_median=0.00567057856,age_mean=0.00540200023333,age_n=9,age_range={0.00198834344,0.01070515393},age_hpdi_95={0.00198834344,0.01070515393},age_qi_95={0.002041876582,0.010470234956}],1:0.00237789443[&age_median=0.00237789443,age_mean=0.00272676391,age_n=9,age_range={0.0001772801,0.00545015414},age_hpdi_95={0.0001772801,0.00545015414},age_qi_95={0.00037514455,0.005409082254}]
0,1,1,1,2,0	0.009	0.00971705157168	0:0.00398445025[&age_median=0.00398445025,age_mean=0.00663538267333,age_n=9,age_range={0.00062657185,0.01829823512},age_hpdi_95={0.00062657185,0.01829823512},age_qi_95={0.000972128552,0.017480574314}],1:0.00185324098[&age_median=0.00185324098,age_mean=0.00225655167111,age_n=9,age_range={0.00027676736,0.00447719832},age_hpdi_95={0.00027676736,0.00447719832},age_qi_95={0.00044045682,0.00440892554}],2:0.00817044464[&age_median=0.00817044464,age_mean=0.00838175144889,age_n=9,age_range={0.00150297114,0.01330091734},age_hpdi_95={0.00150297114,0.01330091734},age_qi_95={0.001849636666,0.013253372826}]
