PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
25	0.01010407583	0.00723093868	0.00347666953	0.01010407583	0.01102962442	0.00723093868	0.006060	0.003787	0.005082	0.002714	0.003583	0.011338	0.006060	0.003787	0.005082	0.002714	0.003583	0.011338	0.006060	0.003787	0.005082	0.002714	0.003583	0.011338	1	4	7.88914017401732e-06	0.00819605382833333	0.000962553484793496	0.342696788310496	0.015156	0.010849	0.007648	0.014421	0.009780	0.010878	0.017205	0.011236	0.011436	0.010454	0.008838	0.018042	0.011972	0.012144	0.013170	0.027841	0.016846	0.017668	0.038738	0.032755	0.029712	0.034582	0.028306	0.038641
59	0.00368277434	0.01236898568	0.00555901798	0.01236898568	0.00368277434	0.01381909130	0.007738	0.003265	0.004575	0.006015	0.002938	0.004029	0.007738	0.003265	0.004575	0.006015	0.002938	0.004029	0.007738	0.003265	0.004575	0.006015	0.002938	0.004029	1	4	2.26505745737734e-05	0.00858027155333333	0.00263984355657996	0.554674982984352	0.016931	0.014974	0.005236	0.011862	0.008054	0.008436	0.018352	0.012101	0.006158	0.011526	0.007576	0.012629	0.010428	0.025199	0.005266	0.022645	0.009298	0.028780	0.040026	0.034002	0.021758	0.036325	0.026195	0.032264
17	0.02407098220	0.02533198950	0.00193579993	0.01358368509	0.01358368509	0.00193579993	0.003999	0.004070	0.004221	0.003063	0.003563	0.005385	0.003999	0.004070	0.004221	0.003063	0.003563	0.005385	0.003999	0.004070	0.004221	0.003063	0.003563	0.005385	1	4	0.000103833037654091	0.01340699029	0.0077446940296166	0.760040062397968	0.033451	0.021175	0.004825	0.013665	0.022953	0.010279	0.020646	0.012101	0.007037	0.010990	0.013888	0.009472	0.052720	0.039526	0.000768	0.028831	0.043263	0.006806	0.042489	0.034002	0.023269	0.035464	0.035549	0.027908
29	0.00556948795	0.01383867192	0.01516884616	0.01383867192	0.01117190958	0.01117190958	0.007003	0.007344	0.004943	0.001387	0.006251	0.003211	0.007003	0.007344	0.004943	0.001387	0.006251	0.003211	0.007003	0.007344	0.004943	0.001387	0.006251	0.003211	1	4	1.1853898597422e-05	0.0117932495183333	0.00100514269447063	0.291942361436679	0.018551	0.020134	0.012345	0.014208	0.019218	0.008479	0.019499	0.012965	0.011436	0.009382	0.013888	0.008119	0.016403	0.033442	0.007935	0.038533	0.024529	0.021252	0.041275	0.035207	0.029712	0.032748	0.035549	0.025824
31	0.02256309612	0.00735622942	0.02256309612	0.00796218417	0.02144657827	0.00735622942	0.002830	0.001423	0.003343	0.003030	0.006444	0.004704	0.002830	0.001423	0.003343	0.003030	0.006444	0.004704	0.002830	0.001423	0.003343	0.003030	0.006444	0.004704	1	4	6.44500257026641e-05	0.01487456892	0.00433290040533585	0.539718319135592	0.023787	0.006594	0.010959	0.006227	0.030782	0.005084	0.013764	0.004322	0.011436	0.007506	0.021043	0.005413	0.041546	0.010857	0.031599	0.014351	0.051794	0.002096	0.034604	0.020264	0.029712	0.029272	0.043872	0.021064
37	0.00843548146	0.00684147922	0.00684147922	0.01948216818	0.02928713384	0.00843548146	0.006752	0.005752	0.006686	0.001765	0.004649	0.005621	0.006752	0.005752	0.006686	0.001765	0.004649	0.005621	0.006752	0.005752	0.006686	0.001765	0.004649	0.005621	1	4	8.49043656832744e-05	0.01322053723	0.00642215699756964	0.696972924647106	0.013957	0.009450	0.008470	0.010435	0.026158	0.007451	0.011470	0.009508	0.008797	0.007506	0.018097	0.008119	0.010055	0.012010	0.011100	0.027848	0.043840	0.007293	0.031563	0.030112	0.026033	0.029272	0.040642	0.025824
116	0.01964958324	0.00931596036	0.01964958324	0.00931596036	0.00986430557	0.00986430557	0.002182	0.001777	0.005710	0.003481	0.005031	0.007161	0.002182	0.001777	0.005710	0.003481	0.005031	0.007161	0.002182	0.001777	0.005710	0.003481	0.005031	0.007161	1	3	2.70448137832521e-05	0.0129432830566667	0.00208948638956962	0.401788543170058	0.019238	0.008477	0.011139	0.006119	0.011407	0.006011	0.012617	0.006050	0.014955	0.006433	0.008838	0.009021	0.032618	0.014348	0.025264	0.011301	0.014023	0.021092	0.033117	0.023991	0.034023	0.027091	0.028306	0.027231
65	0.02411307395	0.00712613875	0.01240822808	0.00712613875	0.01240822808	0.00712613875	0.003685	0.002583	0.002062	0.008809	0.004223	0.000698	0.003685	0.002583	0.002062	0.008809	0.004223	0.000698	0.003685	0.002583	0.002062	0.008809	0.004223	0.000698	1	3	4.35692514096169e-05	0.01171799106	0.00371815025173922	0.56329628460699	0.028580	0.005917	0.004902	0.005697	0.017137	0.003596	0.014911	0.004322	0.006158	0.012867	0.017676	0.003608	0.048102	0.005893	0.020529	0.007424	0.022349	0.010540	0.036033	0.020264	0.021758	0.038396	0.040160	0.017187
151	0.01608768721	0.00437053106	0.00437053106	0.01608768721	0.00669406905	0.01608768721	0.003125	0.002825	0.003083	0.004616	0.008290	0.003527	0.003125	0.002825	0.003083	0.004616	0.008290	0.003527	0.003125	0.002825	0.003083	0.004616	0.008290	0.003527	1	3	3.6642277781683e-05	0.0106163654666667	0.00345148986220686	0.570184452137946	0.015244	0.012835	0.006596	0.014420	0.015087	0.007737	0.013764	0.007779	0.006158	0.011526	0.014730	0.010825	0.021652	0.021709	0.010789	0.032132	0.012133	0.036064	0.034604	0.027220	0.021758	0.036325	0.036622	0.029850
115	0.00990264741	0.00990264741	0.00990264741	0.00729462743	0.00990264741	0.00990264741	0.004391	0.006459	0.001381	0.005376	0.001658	0.004596	0.004391	0.006459	0.001381	0.005376	0.001658	0.004596	0.004391	0.006459	0.001381	0.005376	0.001658	0.004596	1	2	1.13362803601318e-06	0.00946797741333333	0.000119732862312995	0.112454820269342	0.013247	0.003800	0.007225	0.009330	0.011044	0.013626	0.011470	0.003457	0.007917	0.009650	0.007996	0.010825	0.017125	0.005135	0.021811	0.005769	0.017790	0.013292	0.031563	0.018119	0.024688	0.033216	0.026916	0.029850
12	0.03679045445	0.00820556730	0.00545042661	0.00820556730	0.00179962913	0.00820556730	0.002265	0.002760	0.002720	0.000728	0.001349	0.005237	0.002265	0.002760	0.002720	0.000728	0.001349	0.005237	0.002265	0.002760	0.002720	0.000728	0.001349	0.005237	1	4	0.000160568379204669	0.0114428686816667	0.014032178789391	1.10737597681146	0.039919	0.005627	0.002644	0.005924	0.002413	0.005672	0.021793	0.003457	0.003519	0.004825	0.002104	0.009021	0.067758	0.008697	0.004905	0.014738	0.003317	0.018419	0.043672	0.018119	0.016431	0.023449	0.013778	0.027231
