divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,3,4,2	0.017	0.00803296466136	0:0.02488998073[&age_median=0.02488998073,age_mean=0.0227905582894,age_n=17,age_range={0.00329573125,0.04536319272},age_hpdi_95={0.00329573125,0.04536319272},age_qi_95={0.004113076482,0.043085112956}],1:0.00344307494[&age_median=0.00344307494,age_mean=0.00581181295647,age_n=17,age_range={4.643981e-05,0.02416076244},age_hpdi_95={4.643981e-05,0.02416076244},age_qi_95={0.00012665593,0.022565781664}],2:0.00621184231[&age_median=0.00621184231,age_mean=0.00818927391588,age_n=17,age_range={0.00040875739,0.01826603102},age_hpdi_95={0.00040875739,0.01826603102},age_qi_95={0.00094895643,0.018044456016}],3:0.00521550419[&age_median=0.00521550419,age_mean=0.00551668487529,age_n=17,age_range={0.00029279633,0.01108165941},age_hpdi_95={0.00029279633,0.01108165941},age_qi_95={0.000407840726,0.010899544158}],4:0.01465084023[&age_median=0.01465084023,age_mean=0.0167479540806,age_n=17,age_range={0.00304014796,0.03352356201},age_hpdi_95={0.00304014796,0.03352356201},age_qi_95={0.003861139308,0.030542303018}]
0,1,1,2,0,3	0.017	0.00996434885871	0:0.0201033118[&age_median=0.0201033118,age_mean=0.0185662926859,age_n=17,age_range={0.0075530947,0.02628826692},age_hpdi_95={0.0075530947,0.02628826692},age_qi_95={0.008855716444,0.026051071932}],1:0.00464929272[&age_median=0.00464929272,age_mean=0.00492622471118,age_n=17,age_range={0.00012707179,0.01238890208},age_hpdi_95={0.00012707179,0.01238890208},age_qi_95={0.00037015837,0.011538634476}],2:0.00360587249[&age_median=0.00360587249,age_mean=0.00522008893176,age_n=17,age_range={0.00060520386,0.01439031881},age_hpdi_95={0.00060520386,0.01439031881},age_qi_95={0.000872422848,0.013833924034}],3:0.01171365309[&age_median=0.01171365309,age_mean=0.0117885926059,age_n=17,age_range={0.00355030487,0.02136389671},age_hpdi_95={0.00355030487,0.02136389671},age_qi_95={0.00376622829,0.019735082478}]
0,1,2,3,4,0	0.016	0.0102715105821	0:0.01115802465[&age_median=0.01115802465,age_mean=0.0122478441394,age_n=16,age_range={0.00327518154,0.02104223882},age_hpdi_95={0.00327518154,0.02104223882},age_qi_95={0.00417430404,0.0207173843937}],1:0.00428241649[&age_median=0.00428241649,age_mean=0.00451078305375,age_n=16,age_range={0.0004483642,0.01114871803},age_hpdi_95={0.0004483642,0.01114871803},age_qi_95={0.00050148392875,0.00995556514375}],2:0.00591989017[&age_median=0.00591989017,age_mean=0.00637196234187,age_n=16,age_range={0.00056383943,0.01594935058},age_hpdi_95={0.00056383943,0.01594935058},age_qi_95={0.00101380236125,0.0156463374475}],3:0.002681651165[&age_median=0.002681651165,age_mean=0.0035230159475,age_n=16,age_range={8.33626e-06,0.01150281946},age_hpdi_95={8.33626e-06,0.01150281946},age_qi_95={0.000154508365,0.0108094058163}],4:0.0152417044[&age_median=0.0152417044,age_mean=0.0150454453838,age_n=16,age_range={0.00129138747,0.03769473406},age_hpdi_95={0.00129138747,0.03769473406},age_qi_95={0.00221161453875,0.0345559358537}]
0,1,1,1,2,3	0.016	0.0105246283854	0:0.021636814185[&age_median=0.021636814185,age_mean=0.02408466979,age_n=16,age_range={0.00860106861,0.04637862618},age_hpdi_95={0.00860106861,0.04637862618},age_qi_95={0.009787529985,0.046181501085}],1:0.001409625115[&age_median=0.001409625115,age_mean=0.00200424749687,age_n=16,age_range={0.00035426023,0.0060266507},age_hpdi_95={0.00035426023,0.0060266507},age_qi_95={0.000390738715,0.005506385165}],2:0.01054982812[&age_median=0.01054982812,age_mean=0.0128521655563,age_n=16,age_range={0.00561822705,0.0266264367},age_hpdi_95={0.00561822705,0.0266264367},age_qi_95={0.00562743265875,0.0253125629925}],3:0.011313947085[&age_median=0.011313947085,age_mean=0.010088547385,age_n=16,age_range={0.00192180231,0.02305381924},age_hpdi_95={0.00192180231,0.02305381924},age_qi_95={0.0020464761,0.0202564564075}]
0,1,2,1,3,0	0.015	0.00892270110771	0:0.01238672918[&age_median=0.01238672918,age_mean=0.0137953713127,age_n=15,age_range={0.00157420503,0.02605645008},age_hpdi_95={0.00157420503,0.02605645008},age_qi_95={0.002937944239,0.0250220338545}],1:0.00294968083[&age_median=0.00294968083,age_mean=0.00356177078533,age_n=15,age_range={0.00055245886,0.01147437832},age_hpdi_95={0.00055245886,0.01147437832},age_qi_95={0.0006021454025,0.0102802406025}],2:0.00572939188[&age_median=0.00572939188,age_mean=0.00818120035067,age_n=15,age_range={2.289975e-05,0.02205985076},age_hpdi_95={2.289975e-05,0.02205985076},age_qi_95={2.6439944e-05,0.0206157989095}],3:0.01500669301[&age_median=0.01500669301,age_mean=0.0143019312933,age_n=15,age_range={0.0016519622,0.02880253541},age_hpdi_95={0.0016519622,0.02880253541},age_qi_95={0.0022230832505,0.0276620966525}]
0,1,1,2,3,3	0.015	0.0108390934358	0:0.01704128592[&age_median=0.01704128592,age_mean=0.021291434674,age_n=15,age_range={0.00237466114,0.05381560655},age_hpdi_95={0.00237466114,0.05381560655},age_qi_95={0.004034075302,0.051379718865}],1:0.00358526929[&age_median=0.00358526929,age_mean=0.00478773724133,age_n=15,age_range={0.00048300802,0.01418284526},age_hpdi_95={0.00048300802,0.01418284526},age_qi_95={0.00056817737,0.0141437760515}],2:0.00237808529[&age_median=0.00237808529,age_mean=0.00347939990667,age_n=15,age_range={6.716443e-05,0.01197411884},age_hpdi_95={6.716443e-05,0.01197411884},age_qi_95={9.5664734e-05,0.0115774949235}],3:0.01388077836[&age_median=0.01388077836,age_mean=0.0143912769853,age_n=15,age_range={0.00394623764,0.02450302489},age_hpdi_95={0.00394623764,0.02450302489},age_qi_95={0.0057441986125,0.02264242881}]
0,1,1,1,2,2	0.014	0.0109281656605	0:0.020582726425[&age_median=0.020582726425,age_mean=0.0236850748793,age_n=14,age_range={0.00282543582,0.04906574398},age_hpdi_95={0.00282543582,0.04906574398},age_qi_95={0.00287326011925,0.048711422493}],1:0.001537413955[&age_median=0.001537413955,age_mean=0.00269519884,age_n=14,age_range={7.112421e-05,0.00847046958},age_hpdi_95={7.112421e-05,0.00847046958},age_qi_95={0.0001120017155,0.0075788565265}],2:0.0124445051[&age_median=0.0124445051,age_mean=0.0120783616936,age_n=14,age_range={0.00354805589,0.02294044732},age_hpdi_95={0.00354805589,0.02294044732},age_qi_95={0.00380174357425,0.0211574078572}]
0,1,0,2,3,4	0.013	0.00913537483305	0:0.01335507019[&age_median=0.01335507019,age_mean=0.0126771284562,age_n=13,age_range={0.00556948461,0.02370126994},age_hpdi_95={0.00556948461,0.02370126994},age_qi_95={0.005873684688,0.021790823557}],1:0.00316856406[&age_median=0.00316856406,age_mean=0.00462422458538,age_n=13,age_range={0.00022826581,0.01883435001},age_hpdi_95={0.00022826581,0.01883435001},age_qi_95={0.000282941764,0.016005190926}],2:0.0020857364[&age_median=0.0020857364,age_mean=0.00299319534385,age_n=13,age_range={0.00028652341,0.00956980105},age_hpdi_95={0.00028652341,0.00956980105},age_qi_95={0.000399988084,0.008180039014}],3:0.0168406439[&age_median=0.0168406439,age_mean=0.0177155725808,age_n=13,age_range={0.00862383243,0.03145217974},age_hpdi_95={0.00862383243,0.03145217974},age_qi_95={0.008836049718,0.030262396117}],4:0.01156476121[&age_median=0.01156476121,age_mean=0.0125257814969,age_n=13,age_range={0.0040728639,0.02704326782},age_hpdi_95={0.0040728639,0.02704326782},age_qi_95={0.004272169089,0.024625204835}]
0,1,2,2,3,3	0.012	0.010954955616	0:0.02303316579[&age_median=0.02303316579,age_mean=0.0227725118508,age_n=12,age_range={0.00644557899,0.04070519333},age_hpdi_95={0.00644557899,0.04070519333},age_qi_95={0.00773878974125,0.038905573046}],1:0.003296882355[&age_median=0.003296882355,age_mean=0.00705884789667,age_n=12,age_range={0.00034756249,0.02498373051},age_hpdi_95={0.00034756249,0.02498373051},age_qi_95={0.0006231832585,0.0237468581068}],2:0.005171612645[&age_median=0.005171612645,age_mean=0.00474286863333,age_n=12,age_range={0.00067974529,0.01387586261},age_hpdi_95={0.00067974529,0.01387586261},age_qi_95={0.000688775267,0.01197206555}],3:0.01030308439[&age_median=0.01030308439,age_mean=0.0101381660117,age_n=12,age_range={0.00077503091,0.01991053817},age_hpdi_95={0.00077503091,0.01991053817},age_qi_95={0.0014038786515,0.0194354676922}]
0,1,1,1,0,0	0.012	0.0109109885714	0:0.01767815666[&age_median=0.01767815666,age_mean=0.01648025661,age_n=12,age_range={0.00694336751,0.02093962803},age_hpdi_95={0.00694336751,0.02093962803},age_qi_95={0.007558822636,0.0208507361803}],1:0.002246844995[&age_median=0.002246844995,age_mean=0.00280080677333,age_n=12,age_range={0.00037065447,0.00690847628},age_hpdi_95={0.00037065447,0.00690847628},age_qi_95={0.00039906897425,0.006496319667}]
