PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
21	0.01454587205	0.00049861359	0.00049861359	0.00049861359	0.01454587205	0.00049861359	0.003628	0.004285	0.004392	0.004660	0.005791	0.006892	0.003628	0.004285	0.004392	0.004660	0.005791	0.006892	0.003628	0.004285	0.004392	0.004660	0.005791	0.006892	1	2	5.26201253978778e-05	0.00518103307666667	0.0101562998381265	1.40010167265596	0.022234	0.002771	0.009265	0.006057	0.018866	0.008315	0.024087	0.005186	0.007037	0.005897	0.014309	0.009472	0.025835	0.000394	0.001970	0.000076	0.020614	0.006355	0.045952	0.022204	0.023269	0.025933	0.036090	0.027908
25	0.01796655445	0.00937546221	0.00732488831	0.00732488831	0.01796655445	0.01256982546	0.008230	0.002131	0.004461	0.002150	0.005521	0.006484	0.008230	0.002131	0.004461	0.002150	0.005521	0.006484	0.008230	0.002131	0.004461	0.002150	0.005521	0.006484	1	4	2.44158575634284e-05	0.012088028865	0.002019837794574	0.408771400490991	0.030200	0.008346	0.004402	0.005933	0.021361	0.011100	0.027528	0.005186	0.006158	0.005361	0.014309	0.015787	0.036926	0.012726	0.005863	0.014431	0.034745	0.022453	0.049187	0.022204	0.021758	0.024722	0.036090	0.036115
37	0.00415656662	0.00564300981	0.01043254902	0.00415656662	0.01021585754	0.01054281563	0.009621	0.004036	0.002961	0.003249	0.002132	0.002862	0.009621	0.004036	0.002961	0.003249	0.002132	0.002862	0.009621	0.004036	0.002961	0.003249	0.002132	0.002862	1	5	1.02072679140419e-05	0.00752456087333333	0.00135652672439875	0.424593749958218	0.024697	0.003249	0.007956	0.006253	0.014318	0.009241	0.029822	0.002593	0.007917	0.005629	0.009259	0.010374	0.010469	0.002237	0.012127	0.004635	0.023159	0.031494	0.051238	0.015686	0.024688	0.025335	0.028977	0.029217
36	0.00622787831	0.00465033188	0.01061943739	0.00493233162	0.01061943739	0.01061943739	0.014560	0.001236	0.005036	0.002182	0.002436	0.001942	0.014560	0.001236	0.005036	0.002182	0.002436	0.001942	0.014560	0.001236	0.005036	0.002182	0.002436	0.001942	1	4	8.86747230545219e-06	0.00794480899666667	0.00111613410834328	0.374814565711582	0.030444	0.002224	0.005852	0.003939	0.012285	0.008706	0.026381	0.001729	0.007917	0.004021	0.009259	0.010374	0.016337	0.003656	0.014248	0.005630	0.020805	0.018588	0.048131	0.012804	0.024688	0.021400	0.028977	0.029217
7	0.01344774363	0.00027569852	0.00129042657	0.00113589052	0.01344774363	0.01211042847	0.008741	0.005083	0.002340	0.006365	0.004976	0.009651	0.008741	0.005083	0.002340	0.006365	0.004976	0.009651	0.008741	0.005083	0.002340	0.006365	0.004976	0.009651	1	5	4.42904593545913e-05	0.00695132189	0.00637151610232674	0.957387367413496	0.028736	0.002264	0.004286	0.002715	0.023247	0.008982	0.025234	0.003457	0.003519	0.005629	0.014309	0.013982	0.029385	0.000545	0.000482	0.001041	0.033718	0.027675	0.047053	0.018119	0.016431	0.025335	0.036090	0.033965
85	0.01378329670	0.00046540387	0.01378329670	0.00046540387	0.01378329670	0.01378329670	0.005648	0.004855	0.006401	0.003626	0.003575	0.005821	0.005648	0.004855	0.006401	0.003626	0.003575	0.005821	0.005648	0.004855	0.006401	0.003626	0.003575	0.005821	1	2	4.72976718483641e-05	0.00934399909	0.00506182325070883	0.736015727175692	0.037656	0.002151	0.005647	0.002382	0.021819	0.010735	0.030969	0.002593	0.007917	0.003217	0.013047	0.015787	0.033212	0.000000	0.012389	0.000496	0.041411	0.039162	0.052236	0.015686	0.024688	0.019135	0.034445	0.036115
55	0.01454592040	0.00429225791	0.00429225791	0.00021717076	0.01625738344	0.01454592040	0.011978	0.006556	0.004079	0.006966	0.002394	0.001716	0.011978	0.006556	0.004079	0.006966	0.002394	0.001716	0.011978	0.006556	0.004079	0.006966	0.002394	0.001716	1	4	4.71288091026214e-05	0.00902515180333333	0.00522194087474683	0.760656739247608	0.028026	0.007402	0.005698	0.004500	0.012459	0.009294	0.032116	0.006050	0.006158	0.006165	0.009680	0.011276	0.013661	0.009427	0.006931	0.000570	0.018661	0.040547	0.053217	0.023991	0.021758	0.026518	0.029633	0.030471
67	0.01323014814	0.01323014814	0.00900052866	0.00900052866	0.01323014814	0.01323014814	0.007001	0.004638	0.001604	0.001187	0.010420	0.006488	0.007001	0.004638	0.001604	0.001187	0.010420	0.006488	0.007001	0.004638	0.001604	0.001187	0.010420	0.006488	1	2	4.77058158549217e-06	0.01182027498	0.000403593113828911	0.184781327953332	0.033307	0.010064	0.004902	0.005191	0.018723	0.008399	0.028675	0.009508	0.006158	0.003485	0.021885	0.011727	0.031113	0.010931	0.019323	0.012300	0.011451	0.020055	0.050222	0.030112	0.021758	0.019919	0.044755	0.031079
109	0.00136370367	0.00054956154	0.00136370367	0.00136370367	0.00054956154	0.00592506619	0.008818	0.003509	0.011182	0.002981	0.004410	0.004338	0.008818	0.003509	0.011182	0.002981	0.004410	0.004338	0.008818	0.003509	0.011182	0.002981	0.004410	0.004338	1	3	4.13957163493237e-06	0.00185255004666667	0.00223452621017218	1.09826653854931	0.025274	0.002207	0.007186	0.005350	0.010480	0.007001	0.024087	0.003457	0.007037	0.004557	0.009259	0.010825	0.005097	0.000525	0.000000	0.002930	0.006239	0.016699	0.045952	0.018119	0.023269	0.022786	0.028977	0.029850
28	0.01407516668	0.00037257004	0.01407516668	0.00037257004	0.00303982453	0.00490406933	0.009517	0.004743	0.004139	0.002068	0.007413	0.005913	0.009517	0.004743	0.004139	0.002068	0.007413	0.005913	0.009517	0.004743	0.004139	0.002068	0.007413	0.005913	1	4	4.07197699329788e-05	0.00613989455	0.00663199825361476	1.03930195780241	0.035969	0.004574	0.004415	0.001938	0.007559	0.005126	0.030969	0.005186	0.007037	0.002413	0.008838	0.007668	0.032440	0.000405	0.006272	0.000265	0.003745	0.007996	0.052236	0.022204	0.023269	0.016567	0.028306	0.025093
