divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,3,4,5	0.141	0.00959674967138	0:0.01340929205[&age_median=0.01340929205,age_mean=0.0142137523352,age_n=141,age_range={0.00015380944,0.04234200832},age_hpdi_95={0.00154813271,0.02945052618},age_qi_95={0.00161035555,0.030459352195}],1:0.00261798591[&age_median=0.00261798591,age_mean=0.00414223943844,age_n=141,age_range={2.91385e-06,0.01638555341},age_hpdi_95={2.91385e-06,0.01202609642},age_qi_95={6.713061e-05,0.013701818175}],2:0.00397799849[&age_median=0.00397799849,age_mean=0.00557051255241,age_n=141,age_range={6.795925e-05,0.01908870919},age_hpdi_95={6.795925e-05,0.01459698349},age_qi_95={0.000222021105,0.017819153385}],3:0.0023292156[&age_median=0.0023292156,age_mean=0.00322698190738,age_n=141,age_range={7.063762e-05,0.0152636816},age_hpdi_95={7.063762e-05,0.00928504236},age_qi_95={9.971416e-05,0.01052395983}],4:0.00975122038[&age_median=0.00975122038,age_mean=0.0112173048525,age_n=141,age_range={7.460527e-05,0.03324522284},age_hpdi_95={7.460527e-05,0.02732459281},age_qi_95={0.000703642515,0.02884023844}],5:0.00692611998[&age_median=0.00692611998,age_mean=0.00817003452426,age_n=141,age_range={0.00011282546,0.02973589597},age_hpdi_95={0.00024654267,0.01849307069},age_qi_95={0.00036399012,0.020867989215}]
0,0,0,0,0,0	0.047	0.0197718789248	0:0.00260522746[&age_median=0.00260522746,age_mean=0.00323268630787,age_n=47,age_range={0.00022963824,0.00967499312},age_hpdi_95={0.00022963824,0.00727710367},age_qi_95={0.000591457138,0.00836189271}]
0,1,2,1,3,4	0.036	0.02033587113	0:0.011233943665[&age_median=0.011233943665,age_mean=0.0122178217525,age_n=36,age_range={0.00034945961,0.03144829909},age_hpdi_95={0.00034945961,0.02772305015},age_qi_95={0.000817892505,0.0281887062675}],1:0.002167847625[&age_median=0.002167847625,age_mean=0.00262108346528,age_n=36,age_range={0.00011640388,0.00882357439},age_hpdi_95={0.00011640388,0.0074405443},age_qi_95={0.00028038706125,0.00761342306125}],2:0.00413581936[&age_median=0.00413581936,age_mean=0.00572468371222,age_n=36,age_range={6.862535e-05,0.02439487505},age_hpdi_95={6.862535e-05,0.01429074318},age_qi_95={0.00023308040125,0.0155537596638}],3:0.00931590841[&age_median=0.00931590841,age_mean=0.0106893452275,age_n=36,age_range={0.000764266,0.02742956934},age_hpdi_95={0.000764266,0.02600419349},age_qi_95={0.00080016272625,0.0261823654713}],4:0.00698912001[&age_median=0.00698912001,age_mean=0.00758932910389,age_n=36,age_range={8.302058e-05,0.0190374174},age_hpdi_95={8.302058e-05,0.01719645393},age_qi_95={0.00038345962625,0.0174265743638}]
0,1,2,2,3,4	0.031	0.0171929680194	0:0.01290526131[&age_median=0.01290526131,age_mean=0.0154161965106,age_n=31,age_range={0.00239549707,0.03376064932},age_hpdi_95={0.00239549707,0.03217752743},age_qi_95={0.0028021171225,0.0325733079025}],1:0.0024100425[&age_median=0.0024100425,age_mean=0.00359077803032,age_n=31,age_range={0.00012734453,0.01781637146},age_hpdi_95={0.00012734453,0.01032097808},age_qi_95={0.0001501194125,0.012194826425}],2:0.00211413832[&age_median=0.00211413832,age_mean=0.00336695666742,age_n=31,age_range={0.00016482177,0.01522869711},age_hpdi_95={0.00016482177,0.01350829126},age_qi_95={0.0003638411175,0.0139383927225}],3:0.00886600237[&age_median=0.00886600237,age_mean=0.0100587938558,age_n=31,age_range={0.00036601674,0.03663018447},age_hpdi_95={0.00036601674,0.02769473607},age_qi_95={0.0007193913075,0.02992859817}],4:0.00645284669[&age_median=0.00645284669,age_mean=0.00812158062645,age_n=31,age_range={0.00110648584,0.0187492311},age_hpdi_95={0.00110648584,0.01803896028},age_qi_95={0.00155752048,0.018216527985}]
0,1,1,2,3,4	0.031	0.0207082192553	0:0.01433646236[&age_median=0.01433646236,age_mean=0.0136869008297,age_n=31,age_range={0.00245748863,0.04300141798},age_hpdi_95={0.00245748863,0.02369278766},age_qi_95={0.0029836843925,0.02851994524}],1:0.00244788095[&age_median=0.00244788095,age_mean=0.00307753562097,age_n=31,age_range={9.345398e-05,0.00990859119},age_hpdi_95={9.345398e-05,0.00750955349},age_qi_95={0.0001086850475,0.008109312915}],2:0.00269182583[&age_median=0.00269182583,age_mean=0.00455725510194,age_n=31,age_range={2.498792e-05,0.01456789},age_hpdi_95={2.498792e-05,0.01380108315},age_qi_95={6.126173e-05,0.0139927848625}],3:0.01033327181[&age_median=0.01033327181,age_mean=0.0117333242623,age_n=31,age_range={0.00259673438,0.03010404898},age_hpdi_95={0.00259673438,0.02823579286},age_qi_95={0.0030590388125,0.02870285689}],4:0.00914406019[&age_median=0.00914406019,age_mean=0.00805549586677,age_n=31,age_range={0.00063661796,0.02327372635},age_hpdi_95={0.00063661796,0.01766134931},age_qi_95={0.0007660977275,0.01906444357}]
0,1,2,3,3,4	0.025	0.0205659988046	0:0.01510151112[&age_median=0.01510151112,age_mean=0.0153851350344,age_n=25,age_range={0.00331217062,0.02978764031},age_hpdi_95={0.00331217062,0.02775194421},age_qi_95={0.0037565374,0.02856622265}],1:0.00224302911[&age_median=0.00224302911,age_mean=0.0036409420264,age_n=25,age_range={0.00037659532,0.01281383519},age_hpdi_95={0.00037659532,0.01069462576},age_qi_95={0.000437580664,0.011542309532}],2:0.00674076622[&age_median=0.00674076622,age_mean=0.0075795647176,age_n=25,age_range={0.0009195218,0.01740468577},age_hpdi_95={0.0009195218,0.01673601816},age_qi_95={0.001093571306,0.017003485204}],3:0.00470358007[&age_median=0.00470358007,age_mean=0.0050224575348,age_n=25,age_range={8.47207e-06,0.01148396907},age_hpdi_95={8.47207e-06,0.00973595124},age_qi_95={8.0390602e-05,0.010435158372}],4:0.00705301312[&age_median=0.00705301312,age_mean=0.0077309653552,age_n=25,age_range={0.0007885109,0.01805223894},age_hpdi_95={0.0007885109,0.01520713296},age_qi_95={0.00125937953,0.016345175352}]
0,1,2,3,1,4	0.02	0.0168732094498	0:0.016689528045[&age_median=0.016689528045,age_mean=0.01680261689,age_n=20,age_range={0.00264651297,0.03509200915},age_hpdi_95={0.00264651297,0.02765625663},age_qi_95={0.004891036227,0.031560026703}],1:0.004336860355[&age_median=0.004336860355,age_mean=0.00533412265,age_n=20,age_range={7.558774e-05,0.01395563617},age_hpdi_95={7.558774e-05,0.0129139675},age_qi_95={0.00035801050875,0.0134608435517}],2:0.00388448216[&age_median=0.00388448216,age_mean=0.0061797415375,age_n=20,age_range={1.494305e-05,0.0193268341},age_hpdi_95={1.494305e-05,0.01438922753},age_qi_95={0.00014832301675,0.0169814709792}],3:0.002069499225[&age_median=0.002069499225,age_mean=0.0026479079895,age_n=20,age_range={4.92069e-06,0.00695348313},age_hpdi_95={0.00026134461,0.00695348313},age_qi_95={0.000126722052,0.006854839766}],4:0.008884872025[&age_median=0.008884872025,age_mean=0.009667968364,age_n=20,age_range={0.00146095191,0.02275102159},age_hpdi_95={0.00146095191,0.01690326699},age_qi_95={0.0015191066065,0.019973338155}]
0,1,2,3,4,2	0.02	0.0197684843481	0:0.012358480035[&age_median=0.012358480035,age_mean=0.0142777176595,age_n=20,age_range={0.00157156058,0.03522657684},age_hpdi_95={0.00157156058,0.02837640548},age_qi_95={0.002321495976,0.031972745444}],1:0.00212876739[&age_median=0.00212876739,age_mean=0.0035515560265,age_n=20,age_range={0.00015359484,0.01123278994},age_hpdi_95={0.00015359484,0.00948893382},age_qi_95={0.000167902106,0.010404458283}],2:0.002416901775[&age_median=0.002416901775,age_mean=0.003136421165,age_n=20,age_range={0.00049992076,0.00671132885},age_hpdi_95={0.00049992076,0.00651651054},age_qi_95={0.00054166761225,0.00661879015275}],3:0.001974109535[&age_median=0.001974109535,age_mean=0.0031224718425,age_n=20,age_range={6.88872e-06,0.01028194148},age_hpdi_95={6.88872e-06,0.00876931228},age_qi_95={2.175404925e-05,0.00956344261}],4:0.0134582248[&age_median=0.0134582248,age_mean=0.013801582939,age_n=20,age_range={0.00085565187,0.0296716716},age_hpdi_95={0.00085565187,0.02268737044},age_qi_95={0.001515962043,0.026354128549}]
0,1,2,3,2,4	0.019	0.0191035342667	0:0.01781491022[&age_median=0.01781491022,age_mean=0.0191437101237,age_n=19,age_range={0.00140682082,0.04606903468},age_hpdi_95={0.00140682082,0.04606903468},age_qi_95={0.0017389539805,0.044635706263}],1:0.00304456509[&age_median=0.00304456509,age_mean=0.0051160992,age_n=19,age_range={0.00063976281,0.01884750415},age_hpdi_95={0.00063976281,0.01884750415},age_qi_95={0.0006568953405,0.0178174745485}],2:0.00713812495[&age_median=0.00713812495,age_mean=0.00658242190158,age_n=19,age_range={0.00020482308,0.01091744148},age_hpdi_95={0.00020482308,0.01091744148},age_qi_95={0.0003139027425,0.010399933776}],3:0.00206168826[&age_median=0.00206168826,age_mean=0.00294151040421,age_n=19,age_range={4.915676e-05,0.00957886651},age_hpdi_95={4.915676e-05,0.00957886651},age_qi_95={5.71456775e-05,0.008922496114}],4:0.00917228246[&age_median=0.00917228246,age_mean=0.0110523656068,age_n=19,age_range={0.00139456651,0.02324554699},age_hpdi_95={0.00139456651,0.02324554699},age_qi_95={0.002361027226,0.0230707719265}]
0,1,2,3,4,3	0.017	0.0153296092529	0:0.00966450816[&age_median=0.00966450816,age_mean=0.0108966080459,age_n=17,age_range={0.00068210007,0.02341509928},age_hpdi_95={0.00068210007,0.02341509928},age_qi_95={0.00087018413,0.022446328392}],1:0.00200423578[&age_median=0.00200423578,age_mean=0.00378421002765,age_n=17,age_range={0.00017324357,0.0120696791},age_hpdi_95={0.00017324357,0.0120696791},age_qi_95={0.000312586318,0.011526812308}],2:0.00473744051[&age_median=0.00473744051,age_mean=0.00640524854235,age_n=17,age_range={0.00064684783,0.01691965312},age_hpdi_95={0.00064684783,0.01691965312},age_qi_95={0.000795408326,0.015994854628}],3:0.0018711638[&age_median=0.0018711638,age_mean=0.00234447627059,age_n=17,age_range={8.115088e-05,0.00605434827},age_hpdi_95={8.115088e-05,0.00605434827},age_qi_95={0.000246310876,0.005775955438}],4:0.00505169554[&age_median=0.00505169554,age_mean=0.00696999916176,age_n=17,age_range={0.00045563391,0.01825519953},age_hpdi_95={0.00045563391,0.01825519953},age_qi_95={0.000726084998,0.018216675806}]
