PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
62	0.00058168158	0.00036456098	0.00058168158	0.00058168158	0.00132959730	0.00036456098	0.009530	0.004491	0.004016	0.006228	0.008935	0.006259	0.009530	0.004491	0.004016	0.006228	0.008935	0.006259	0.009530	0.004491	0.004016	0.006228	0.008935	0.006259	1	3	1.27452403339127e-07	0.000633960666666667	0.000201041499954981	0.563133937672667	0.028314	0.004358	0.002105	0.002215	0.023127	0.006562	0.030969	0.003457	0.002639	0.003753	0.018939	0.006766	0.000000	0.000302	0.001781	0.000044	0.000071	0.000695	0.052236	0.018119	0.014225	0.020672	0.041589	0.023562
13	0.01328477764	0.00060370648	0.00483247021	0.00563140094	0.00434138474	0.00434138474	0.018515	0.004661	0.004454	0.004801	0.013334	0.015064	0.018515	0.004661	0.004454	0.004801	0.013334	0.015064	0.018515	0.004661	0.004454	0.004801	0.013334	0.015064	1	5	1.75447776765082e-05	0.005505854125	0.00318656783819317	0.760762739877436	0.020525	0.001798	0.003593	0.008442	0.024129	0.012191	0.033263	0.002593	0.006158	0.007774	0.021043	0.016238	0.012979	0.000637	0.008271	0.014046	0.023212	0.002257	0.054181	0.015686	0.021758	0.029793	0.043872	0.036633
50	0.01145920002	0.00222884027	0.00135214125	0.00178317055	0.00178317055	0.00222884027	0.016734	0.003370	0.002937	0.001984	0.007280	0.005908	0.016734	0.003370	0.002937	0.001984	0.007280	0.005908	0.016734	0.003370	0.002937	0.001984	0.007280	0.005908	1	4	1.54168690891082e-05	0.003472560485	0.00443962579073931	1.13070229409534	0.039231	0.007100	0.006340	0.002391	0.014000	0.004422	0.030969	0.006050	0.005278	0.004557	0.015151	0.008119	0.024706	0.004148	0.001408	0.004153	0.008724	0.004171	0.052236	0.023991	0.020137	0.022786	0.037147	0.025824
32	0.00247755725	0.00111979049	0.00101039808	0.00027993218	0.00111979049	0.00101039808	0.020253	0.004166	0.010967	0.004990	0.008098	0.013063	0.020253	0.004166	0.010967	0.004990	0.008098	0.013063	0.020253	0.004166	0.010967	0.004990	0.008098	0.013063	1	4	5.11582692632821e-07	0.00116964442833333	0.000437383088603938	0.611510706710537	0.024342	0.006696	0.007289	0.005873	0.023507	0.006344	0.028675	0.006915	0.006158	0.005361	0.021464	0.009923	0.010894	0.010875	0.001085	0.000635	0.013265	0.000179	0.050222	0.025655	0.021758	0.024722	0.044315	0.028569
12	0.01233318755	0.00419250172	0.00419250172	0.00419250172	0.01233318755	0.00419250172	0.014308	0.003168	0.005187	0.008149	0.009098	0.005827	0.014308	0.003168	0.005187	0.008149	0.009098	0.005827	0.014308	0.003168	0.005187	0.008149	0.009098	0.005827	1	2	1.76722042087368e-05	0.00690606366333333	0.00255894024009141	0.608716092278802	0.033906	0.006105	0.007546	0.005622	0.013904	0.016068	0.033263	0.004322	0.008797	0.007506	0.015151	0.013080	0.018897	0.006123	0.005572	0.004208	0.016134	0.007659	0.054181	0.020264	0.026033	0.029272	0.037147	0.032840
1	0.00215640159	0.00341431211	0.00336800149	0.00191594270	0.01580682510	0.00675975678	0.022945	0.007123	0.003911	0.006118	0.008021	0.001945	0.022945	0.007123	0.003911	0.006118	0.008021	0.001945	0.022945	0.007123	0.003911	0.006118	0.008021	0.001945	1	6	2.81417371281894e-05	0.00557020662833333	0.00505218908487956	0.952366576277271	0.026739	0.003197	0.005878	0.004500	0.027826	0.008119	0.034410	0.005186	0.007037	0.005629	0.018939	0.009923	0.007751	0.003640	0.015136	0.003532	0.040937	0.028233	0.055131	0.022204	0.023269	0.025335	0.041589	0.028569
82	0.00314970580	0.00314970580	0.00047915826	0.00047915826	0.00314970580	0.00314970580	0.011576	0.004316	0.006717	0.000977	0.010061	0.006791	0.011576	0.004316	0.006717	0.000977	0.010061	0.006791	0.011576	0.004316	0.006717	0.000977	0.010061	0.006791	1	2	1.90181977690668e-06	0.00225952328666667	0.000841690717740871	0.610334413381715	0.019083	0.004295	0.008752	0.001517	0.007972	0.008754	0.028675	0.005186	0.007917	0.002681	0.011363	0.011727	0.001970	0.003368	0.000000	0.000427	0.003874	0.020427	0.050222	0.022204	0.024688	0.017465	0.032126	0.031079
20	0.00323419525	0.00765513084	0.00513866157	0.00323419525	0.02599015211	0.00674785446	0.023647	0.007710	0.004087	0.006574	0.008771	0.009543	0.023647	0.007710	0.004087	0.006574	0.008771	0.009543	0.023647	0.007710	0.004087	0.006574	0.008771	0.009543	1	5	7.52557008520776e-05	0.00866669824666667	0.00868331845764008	1.00095839557044	0.029579	0.007424	0.003696	0.004814	0.026145	0.013939	0.036704	0.006915	0.006158	0.005629	0.022306	0.014433	0.004889	0.009335	0.002958	0.006252	0.030183	0.000862	0.056986	0.025655	0.021758	0.025335	0.045190	0.034515
41	0.01539075714	0.01068612299	0.00346176209	0.00346176209	0.02343516096	0.01068612299	0.009488	0.005046	0.004027	0.003117	0.007345	0.014182	0.009488	0.005046	0.004027	0.003117	0.007345	0.014182	0.009488	0.005046	0.004027	0.003117	0.007345	0.014182	1	4	5.75098756136935e-05	0.0111869480433333	0.00514080117212715	0.67789057081538	0.033107	0.009086	0.002952	0.004787	0.021959	0.013415	0.030969	0.006050	0.005278	0.005629	0.016834	0.014433	0.020730	0.011391	0.004005	0.002052	0.030549	0.021826	0.052236	0.023991	0.020137	0.025335	0.039181	0.034515
2	0.00304989310	0.00304989310	0.00304989310	0.00304989310	0.00304989310	0.00304989310	0.018055	0.007017	0.007021	0.001135	0.006536	0.014791	0.018055	0.007017	0.007021	0.001135	0.006536	0.014791	0.018055	0.007017	0.007021	0.001135	0.006536	0.014791	1	1	0	0.0030498931	0	0	0.036779	0.004870	0.001104	0.003867	0.013201	0.007891	0.030969	0.007779	0.002639	0.003217	0.015572	0.012178	0.019210	0.002007	0.000000	0.008953	0.010711	0.013100	0.052236	0.027220	0.014225	0.019135	0.037665	0.031677
