number	PRI.div.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density	PRI.cv	density
1	1	0.018049	1	0.292828	0.000229638	33.7822	0	102.652	0	0.722097
2	1.17618	0.0181896	1.00501	0.292852	0.000244928	34.9204	3.03537e-05	104.445	0.00235571	0.722764
3	1.35235	0.0183241	1.01001	0.292729	0.000260217	36.0839	6.07074e-05	106.224	0.00471143	0.723122
4	1.52853	0.0184524	1.01502	0.292459	0.000275506	37.2729	9.10611e-05	107.988	0.00706714	0.723173
5	1.7047	0.0185743	1.02002	0.292044	0.000290795	38.4875	0.000121415	109.735	0.00942285	0.722918
6	1.88088	0.0186898	1.02503	0.291483	0.000306085	39.7276	0.000151768	111.464	0.0117786	0.722361
7	2.05706	0.0187988	1.03003	0.290777	0.000321374	40.9933	0.000182122	113.173	0.0141343	0.721504
8	2.23323	0.0189013	1.03504	0.289928	0.000336663	42.2846	0.000212476	114.86	0.01649	0.720351
9	2.40941	0.0189972	1.04004	0.288936	0.000351953	43.6016	0.00024283	116.524	0.0188457	0.718907
10	2.58559	0.0190864	1.04505	0.287804	0.000367242	44.9442	0.000273183	118.164	0.0212014	0.717175
11	2.76176	0.0191688	1.05005	0.286532	0.000382531	46.3124	0.000303537	119.778	0.0235571	0.715162
12	2.93794	0.0192446	1.05506	0.285123	0.000397821	47.7062	0.000333891	121.365	0.0259128	0.712872
13	3.11411	0.0193136	1.06006	0.28358	0.00041311	49.1255	0.000364244	122.923	0.0282686	0.710311
14	3.29029	0.0193758	1.06507	0.281904	0.000428399	50.5703	0.000394598	124.451	0.0306243	0.707485
15	3.46647	0.0194312	1.07007	0.280097	0.000443688	52.0404	0.000424952	125.948	0.03298	0.704401
16	3.64264	0.0194799	1.07508	0.278163	0.000458978	53.5358	0.000455305	127.412	0.0353357	0.701066
17	3.81882	0.0195218	1.08008	0.276104	0.000474267	55.0563	0.000485659	128.842	0.0376914	0.697488
18	3.99499	0.0195569	1.08509	0.273924	0.000489556	56.6019	0.000516013	130.238	0.0400471	0.693673
19	4.17117	0.0195854	1.09009	0.271625	0.000504846	58.1723	0.000546367	131.597	0.0424028	0.68963
20	4.34735	0.0196073	1.0951	0.269211	0.000520135	59.7675	0.00057672	132.918	0.0447586	0.685367
21	4.52352	0.0196225	1.1001	0.266686	0.000535424	61.3872	0.000607074	134.202	0.0471143	0.680893
22	4.6997	0.0196312	1.10511	0.264052	0.000550714	63.0313	0.000637428	135.446	0.04947	0.676216
23	4.87588	0.0196334	1.11011	0.261314	0.000566003	64.6995	0.000667781	136.649	0.0518257	0.671345
24	5.05205	0.0196293	1.11512	0.258476	0.000581292	66.3916	0.000698135	137.812	0.0541814	0.66629
25	5.22823	0.0196188	1.12012	0.255542	0.000596581	68.1075	0.000728489	138.932	0.0565371	0.66106
26	5.4044	0.0196022	1.12513	0.252516	0.000611871	69.8469	0.000758842	140.01	0.0588928	0.655664
27	5.58058	0.0195794	1.13013	0.249401	0.00062716	71.6095	0.000789196	141.044	0.0612485	0.650112
28	5.75676	0.0195506	1.13514	0.246203	0.000642449	73.395	0.00081955	142.034	0.0636043	0.644414
29	5.93293	0.0195159	1.14014	0.242926	0.000657739	75.2033	0.000849903	142.979	0.06596	0.63858
30	6.10911	0.0194755	1.14515	0.239574	0.000673028	77.0339	0.000880257	143.879	0.0683157	0.63262
31	6.28528	0.0194295	1.15015	0.236151	0.000688317	78.8867	0.000910611	144.733	0.0706714	0.626543
32	6.46146	0.0193779	1.15516	0.232663	0.000703606	80.7612	0.000940964	145.54	0.0730271	0.620361
33	6.63764	0.019321	1.16016	0.229114	0.000718896	82.6573	0.000971318	146.302	0.0753828	0.614082
34	6.81381	0.0192588	1.16517	0.225508	0.000734185	84.5744	0.00100167	147.016	0.0777385	0.607717
35	6.98999	0.0191916	1.17017	0.22185	0.000749474	86.5124	0.00103203	147.684	0.0800943	0.601277
36	7.16617	0.0191194	1.17518	0.218145	0.000764764	88.4708	0.00106238	148.304	0.08245	0.59477
37	7.34234	0.0190425	1.18018	0.214397	0.000780053	90.4493	0.00109273	148.877	0.0848057	0.588207
38	7.51852	0.018961	1.18519	0.210612	0.000795342	92.4475	0.00112309	149.403	0.0871614	0.581598
39	7.69469	0.0188751	1.19019	0.206793	0.000810632	94.465	0.00115344	149.881	0.0895171	0.574953
40	7.87087	0.0187849	1.1952	0.202946	0.000825921	96.5015	0.00118379	150.312	0.0918728	0.568281
41	8.04705	0.0186906	1.2002	0.199075	0.00084121	98.5565	0.00121415	150.697	0.0942285	0.561591
42	8.22322	0.0185924	1.20521	0.195184	0.000856499	100.63	0.0012445	151.034	0.0965842	0.554892
43	8.3994	0.0184905	1.21021	0.191279	0.000871789	102.72	0.00127486	151.326	0.09894	0.548195
44	8.57558	0.0183849	1.21522	0.187364	0.000887078	104.829	0.00130521	151.571	0.101296	0.541507
45	8.75175	0.018276	1.22022	0.183443	0.000902367	106.953	0.00133556	151.77	0.103651	0.534837
