what	PRI.div.model	PRI.Psi	PRI.E.t	PRI.omega	PRI.cv
mode	2.24024	1.00501	0.0027906	0.000914583	0
mean	0.186704	0.4138	0.195554	0.0940177	0.221026
median	14.4573	1.92776	0.00294783	0.00178447	0.323384
quantile_50_lower_bound	6.45824	1.22406	0.002053	0.000891478	0.082918
quantile_50_upper_bound	44.4795	2.74162	0.00390907	0.00333637	0.844409
quantile_90_lower_bound	1.99405	1.03696	0.0010109	0.00018786	0.0136505
quantile_90_upper_bound	121.773	3.9068	0.00531961	0.00916973	1.38115
quantile_95_lower_bound	1.45432	1.01719	0.000738071	8.89009e-05	0.00621249
quantile_95_upper_bound	139.007	4.13317	0.00577491	0.0109123	1.48454
quantile_99_lower_bound	1.0203	1.00144	0.00033278	6.37907e-06	0.000335648
quantile_99_upper_bound	166.491	4.82703	0.00668926	0.0131235	1.6492
HPD_50_lower_bound	1	0.999985	0.00187723	5.9985e-05	8.68003e-07
HPD_50_upper_bound	14.2883	2.16118	0.00368846	0.00182819	0.324451
HPD_90_lower_bound	0.999996	0.999992	0.000869274	1.08073e-06	9.66892e-07
HPD_90_upper_bound	119.886	4.01302	0.00511502	0.00675503	1.21895
HPD_95_lower_bound	1	0.999997	0.00058975	1.02277e-06	1.03914e-06
HPD_95_upper_bound	128.39	4.17318	0.00556509	0.00914481	1.37892
HPD_99_lower_bound	1	1	0.000140244	1.01005e-06	1.01423e-06
HPD_99_upper_bound	174.634	4.38338	0.00632467	0.0123606	1.58395
