number	PRI.div.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density	PRI.cv	density
1	1	0.0459203	1	1.26923	0.000123921	17.2763	0	236.626	0	3.41947
2	1.17718	0.0460504	1.00501	1.26986	0.000139425	18.0579	2.95027e-05	240.199	0.00225314	3.4089
3	1.35435	0.0461607	1.01001	1.26985	0.000154929	18.8667	5.90054e-05	243.701	0.00450627	3.39686
4	1.53153	0.0462512	1.01502	1.2692	0.000170433	19.7031	8.8508e-05	247.128	0.00675941	3.38337
5	1.70871	0.0463219	1.02002	1.26792	0.000185937	20.5675	0.000118011	250.476	0.00901254	3.36846
6	1.88589	0.0463728	1.02503	1.26599	0.000201441	21.4606	0.000147513	253.74	0.0112657	3.35215
7	2.06306	0.0464039	1.03003	1.26344	0.000216945	22.3827	0.000177016	256.916	0.0135188	3.33447
8	2.24024	0.0464154	1.03504	1.26025	0.000232449	23.3344	0.000206519	260	0.0157719	3.31546
9	2.41742	0.0464072	1.04004	1.25644	0.000247953	24.3161	0.000236021	262.989	0.0180251	3.29515
10	2.59459	0.0463794	1.04505	1.25201	0.000263457	25.3282	0.000265524	265.877	0.0202782	3.27356
11	2.77177	0.0463324	1.05005	1.24697	0.000278961	26.3712	0.000295027	268.662	0.0225314	3.25074
12	2.94895	0.0462661	1.05506	1.24133	0.000294465	27.4454	0.000324529	271.339	0.0247845	3.22672
13	3.12613	0.0461809	1.06006	1.23509	0.000309968	28.5512	0.000354032	273.906	0.0270376	3.20154
14	3.3033	0.0460768	1.06507	1.22826	0.000325472	29.689	0.000383535	276.358	0.0292908	3.17524
15	3.48048	0.0459543	1.07007	1.22085	0.000340976	30.8592	0.000413038	278.694	0.0315439	3.14787
16	3.65766	0.0458136	1.07508	1.21288	0.00035648	32.062	0.00044254	280.909	0.033797	3.11945
17	3.83483	0.0456549	1.08008	1.20436	0.000371984	33.2977	0.000472043	283.001	0.0360502	3.09004
18	4.01201	0.0454786	1.08509	1.19529	0.000387488	34.5666	0.000501546	284.968	0.0383033	3.05967
19	4.18919	0.045285	1.09009	1.1857	0.000402992	35.869	0.000531048	286.806	0.0405564	3.02841
20	4.36637	0.0450746	1.0951	1.17559	0.000418496	37.205	0.000560551	288.514	0.0428096	2.99628
21	4.54354	0.0448476	1.1001	1.16498	0.000434	38.5748	0.000590054	290.09	0.0450627	2.96333
22	4.72072	0.0446046	1.10511	1.15389	0.000449504	39.9787	0.000619556	291.531	0.0473158	2.92962
23	4.8979	0.0443459	1.11011	1.14233	0.000465008	41.4166	0.000649059	292.836	0.049569	2.89518
24	5.07508	0.0440719	1.11512	1.13032	0.000480512	42.8888	0.000678562	294.004	0.0518221	2.86007
25	5.25225	0.0437832	1.12012	1.11787	0.000496016	44.3952	0.000708064	295.033	0.0540752	2.82433
26	5.42943	0.0434802	1.12513	1.10501	0.000511519	45.936	0.000737567	295.923	0.0563284	2.78801
27	5.60661	0.0431634	1.13013	1.09174	0.000527023	47.511	0.00076707	296.672	0.0585815	2.75116
28	5.78378	0.0428333	1.13514	1.0781	0.000542527	49.1203	0.000796572	297.28	0.0608346	2.71383
29	5.96096	0.0424904	1.14014	1.06409	0.000558031	50.7639	0.000826075	297.747	0.0630878	2.67605
30	6.13814	0.0421352	1.14515	1.04974	0.000573535	52.4415	0.000855578	298.072	0.0653409	2.63789
31	6.31532	0.0417683	1.15015	1.03507	0.000589039	54.153	0.00088508	298.257	0.0675941	2.59938
32	6.49249	0.0413903	1.15516	1.02009	0.000604543	55.8984	0.000914583	298.3	0.0698472	2.56057
33	6.66967	0.0410016	1.16016	1.00483	0.000620047	57.6773	0.000944086	298.202	0.0721003	2.52151
34	6.84685	0.0406029	1.16517	0.989298	0.000635551	59.4895	0.000973588	297.965	0.0743535	2.48224
35	7.02402	0.0401946	1.17017	0.973524	0.000651055	61.3347	0.00100309	297.589	0.0766066	2.44281
36	7.2012	0.0397774	1.17518	0.957525	0.000666559	63.2126	0.00103259	297.075	0.0788597	2.40326
37	7.37838	0.0393518	1.18018	0.941321	0.000682063	65.1228	0.0010621	296.426	0.0811129	2.36363
38	7.55556	0.0389184	1.18519	0.924932	0.000697566	67.065	0.0010916	295.641	0.083366	2.32397
39	7.73273	0.0384777	1.19019	0.908378	0.00071307	69.0386	0.0011211	294.724	0.0856191	2.28431
40	7.90991	0.0380304	1.1952	0.89168	0.000728574	71.0432	0.0011506	293.677	0.0878723	2.2447
41	8.08709	0.0375769	1.2002	0.874857	0.000744078	73.0783	0.00118011	292.5	0.0901254	2.20517
42	8.26426	0.0371179	1.20521	0.857929	0.000759582	75.1434	0.00120961	291.197	0.0923785	2.16577
43	8.44144	0.0366538	1.21021	0.840915	0.000775086	77.2378	0.00123911	289.771	0.0946317	2.12653
44	8.61862	0.0361853	1.21522	0.823835	0.00079059	79.3609	0.00126862	288.224	0.0968848	2.08748
45	8.7958	0.0357129	1.22022	0.806708	0.000806094	81.5121	0.00129812	286.558	0.099138	2.04866
46	8.97297	0.0352371	1.22523	0.789552	0.000821598	83.6906	0.00132762	284.778	0.101391	2.0101
47	9.15015	0.0347585	1.23023	0.772387	0.000837102	85.8957	0.00135712	282.885	0.103644	1.97184
48	9.32733	0.0342775	1.23524	0.75523	0.000852606	88.1268	0.00138663	280.884	0.105897	1.9339
49	9.50451	0.0337948	1.24024	0.738099	0.00086811	90.3828	0.00141613	278.777	0.10815	1.89631
50	9.68168	0.0333106	1.24525	0.721012	0.000883614	92.6631	0.00144563	276.569	0.110404	1.8591
51	9.85886	0.0328257	1.25025	0.703986	0.000899117	94.9667	0.00147513	274.263	0.112657	1.8223
52	10.036	0.0323404	1.25526	0.687037	0.000914621	97.2928	0.00150464	271.863	0.11491	1.78593
53	10.2132	0.0318552	1.26026	0.670181	0.000930125	99.6404	0.00153414	269.372	0.117163	1.75002
54	10.3904	0.0313705	1.26527	0.653434	0.000945629	102.009	0.00156364	266.795	0.119416	1.71458
55	10.5676	0.0308868	1.27027	0.636812	0.000961133	104.396	0.00159314	264.135	0.121669	1.67964
56	10.7447	0.0304046	1.27528	0.620329	0.000976637	106.803	0.00162265	261.397	0.123922	1.64521
57	10.9219	0.0299241	1.28028	0.603999	0.000992141	109.227	0.00165215	258.585	0.126176	1.61132
58	11.0991	0.0294458	1.28529	0.587835	0.00100764	111.667	0.00168165	255.703	0.128429	1.57798
59	11.2763	0.0289701	1.29029	0.571852	0.00102315	114.123	0.00171116	252.754	0.130682	1.54521
60	11.4535	0.0284974	1.2953	0.556062	0.00103865	116.593	0.00174066	249.744	0.132935	1.51301
61	11.6306	0.0280279	1.3003	0.540476	0.00105416	119.076	0.00177016	246.677	0.135188	1.48141
62	11.8078	0.027562	1.30531	0.525107	0.00106966	121.572	0.00179966	243.556	0.137441	1.45041
63	11.985	0.0271001	1.31031	0.509965	0.00108516	124.078	0.00182917	240.386	0.139694	1.42002
64	12.1622	0.0266423	1.31532	0.495061	0.00110067	126.594	0.00185867	237.172	0.141948	1.39025
65	12.3393	0.0261891	1.32032	0.480404	0.00111617	129.119	0.00188817	233.917	0.144201	1.36111
66	12.5165	0.0257406	1.32533	0.466005	0.00113168	131.651	0.00191767	230.626	0.146454	1.33261
