PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
78	0.00323453714	0.00041479480	0.00507080840	0.00175917273	0.01085017584	0.00323453714	0.015386	0.003176	0.005459	0.000709	0.010899	0.007984	0.015386	0.003176	0.005459	0.000709	0.010899	0.007984	0.015386	0.003176	0.005459	0.000709	0.010899	0.007984	1	5	1.34130777462157e-05	0.00409400434166667	0.00327627345425708	0.894573279920809	0.030400	0.003510	0.004928	0.002214	0.017513	0.011286	0.029822	0.003457	0.007037	0.001876	0.016414	0.011727	0.006965	0.000288	0.005457	0.003283	0.018118	0.005212	0.051238	0.018119	0.023269	0.014608	0.038682	0.031079
67	0.00563411012	0.00776541001	0.00563411012	0.00563411012	0.00563411012	0.00563411012	0.010689	0.010309	0.002908	0.002392	0.007313	0.006060	0.010689	0.010309	0.002908	0.002392	0.007313	0.006060	0.010689	0.010309	0.002908	0.002392	0.007313	0.006060	1	2	7.57073203518999e-07	0.00598932676833333	0.000126403723290201	0.145275015074932	0.035393	0.005655	0.005775	0.003629	0.012196	0.008977	0.032116	0.006050	0.006158	0.004289	0.013468	0.013080	0.016929	0.005565	0.003070	0.002471	0.013424	0.013463	0.053217	0.023991	0.021758	0.022104	0.035001	0.032840
50	0.01440004058	0.00372832919	0.00368280516	0.00372832919	0.01440004058	0.00368280516	0.018997	0.005810	0.005028	0.002082	0.005825	0.012393	0.018997	0.005810	0.005028	0.002082	0.005825	0.012393	0.018997	0.005810	0.005028	0.002082	0.005825	0.012393	1	3	3.04995508635287e-05	0.00727039164333333	0.00419503547535787	0.759606925797797	0.034816	0.003618	0.003645	0.003364	0.022885	0.009067	0.035557	0.005186	0.006158	0.003753	0.016834	0.010374	0.027766	0.002594	0.004870	0.003664	0.037320	0.007490	0.056066	0.022204	0.021758	0.020672	0.039181	0.029217
41	0.00469950734	0.00171907928	0.00171907928	0.00159239579	0.00059424146	0.00642113581	0.021592	0.002437	0.005731	0.007038	0.014095	0.010997	0.021592	0.002437	0.005731	0.007038	0.014095	0.010997	0.021592	0.002437	0.005731	0.007038	0.014095	0.010997	1	5	5.07614288172811e-06	0.00279090649333333	0.00181881510321236	0.807275240881491	0.018883	0.003664	0.004748	0.006600	0.011847	0.009877	0.032116	0.003457	0.006158	0.006969	0.013468	0.011727	0.004161	0.001043	0.003281	0.000687	0.000635	0.003833	0.053217	0.018119	0.021758	0.028203	0.035001	0.031079
10	0.00193272828	0.00193272828	0.00193272828	0.00193272828	0.00710246737	0.00710246737	0.025901	0.008648	0.007029	0.004679	0.005639	0.008366	0.025901	0.008648	0.007029	0.004679	0.005639	0.008366	0.025901	0.008648	0.007029	0.004679	0.005639	0.008366	1	2	7.12698726897974e-06	0.00365597464333333	0.00194940828760281	0.730213430639922	0.027271	0.006713	0.005698	0.001796	0.012432	0.008479	0.032116	0.007779	0.008797	0.004021	0.013468	0.010374	0.002116	0.003348	0.000334	0.000000	0.004484	0.011752	0.053217	0.027220	0.026033	0.021400	0.035001	0.029217
63	0.00358101880	0.00080775836	0.00080775836	0.00080775836	0.00771677166	0.00358101880	0.018644	0.010453	0.009240	0.002339	0.009201	0.011032	0.018644	0.010453	0.009240	0.002339	0.009201	0.011032	0.018644	0.010453	0.009240	0.002339	0.009201	0.011032	1	3	7.45193795283803e-06	0.00288368072333333	0.00258417580439492	0.946645643920014	0.021979	0.003476	0.005775	0.002813	0.023684	0.007970	0.027528	0.003457	0.006158	0.003217	0.022306	0.013080	0.003836	0.001042	0.000000	0.000213	0.011498	0.018097	0.049187	0.018119	0.021758	0.019135	0.045190	0.032840
1	0.00269489542	0.00269489542	0.00269489542	0.00269489542	0.00269489542	0.00269489542	0.017651	0.001528	0.006414	0.004061	0.013126	0.013388	0.017651	0.001528	0.006414	0.004061	0.013126	0.013388	0.017651	0.001528	0.006414	0.004061	0.013126	0.013388	1	1	0	0.00269489542	0	0	0.029290	0.002953	0.004286	0.004570	0.015746	0.005571	0.032116	0.002593	0.003519	0.004557	0.024410	0.012629	0.007842	0.003710	0.001617	0.001897	0.008242	0.004707	0.053217	0.015686	0.016431	0.022786	0.047309	0.032264
74	0.00497677696	0.00851845244	0.00497677696	0.00224766441	0.00851845244	0.00224766441	0.021923	0.001992	0.004334	0.001154	0.004984	0.004589	0.021923	0.001992	0.004334	0.001154	0.004984	0.004589	0.021923	0.001992	0.004334	0.001154	0.004984	0.004589	1	3	7.90857373778559e-06	0.00524763127	0.00150707496980549	0.535902487375558	0.025618	0.003994	0.005108	0.003228	0.011495	0.005661	0.028675	0.002593	0.006158	0.003217	0.013888	0.007217	0.009184	0.004420	0.003094	0.005421	0.016259	0.001775	0.050222	0.015686	0.021758	0.019135	0.035549	0.024339
2	0.00852016312	0.00256968246	0.00256968246	0.00256968246	0.00852016312	0.00256968246	0.011338	0.002316	0.010882	0.001503	0.010492	0.006709	0.011338	0.002316	0.010882	0.001503	0.010492	0.006709	0.011338	0.002316	0.010882	0.001503	0.010492	0.006709	1	2	9.44219202267574e-06	0.00455317601333333	0.00207375950216412	0.67487287790975	0.030821	0.006639	0.003106	0.004496	0.012025	0.006773	0.027528	0.005186	0.009677	0.004021	0.015993	0.009021	0.013867	0.006164	0.000000	0.006465	0.004765	0.000110	0.049187	0.022204	0.027313	0.021400	0.038177	0.027231
1	0.00130773534	0.00130773534	0.00130773534	0.00130773534	0.00130773534	0.00130773534	0.019086	0.005041	0.008618	0.002600	0.015930	0.006179	0.019086	0.005041	0.008618	0.002600	0.015930	0.006179	0.019086	0.005041	0.008618	0.002600	0.015930	0.006179	1	1	0	0.00130773534	0	0	0.033229	0.005428	0.009599	0.004821	0.014913	0.007944	0.036704	0.005186	0.008797	0.004021	0.015993	0.006766	0.015545	0.003390	0.001036	0.002973	0.002550	0.000000	0.056986	0.022204	0.026033	0.021400	0.038177	0.023562
