divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,0,0,0	0.285	0.0243734084046	0:0.00395004343[&age_median=0.00395004343,age_mean=0.00420275416154,age_n=285,age_range={0.00012392141,0.01374662891},age_hpdi_95={0.00012392141,0.00922718155},age_qi_95={0.000543169246,0.00981064439}]
0,1,1,1,0,1	0.027	0.0490837674279	0:0.01239203606[&age_median=0.01239203606,age_mean=0.0136003106422,age_n=27,age_range={0.00175523772,0.02836145791},age_hpdi_95={0.00263515226,0.02836145791},age_qi_95={0.002327182171,0.028002244328}],1:0.00106030303[&age_median=0.00106030303,age_mean=0.00170685221963,age_n=27,age_range={2.530024e-05,0.0081946792},age_hpdi_95={2.530024e-05,0.00642077407},age_qi_95={3.96829395e-05,0.0070416408655}]
0,1,1,1,1,0	0.022	0.0489104044289	0:0.01054232234[&age_median=0.01054232234,age_mean=0.0108346388341,age_n=22,age_range={0.00361773571,0.02170797039},age_hpdi_95={0.00361773571,0.01922069329},age_qi_95={0.00383171078425,0.0204021499125}],1:0.00269935892[&age_median=0.00269935892,age_mean=0.00334152799318,age_n=22,age_range={3.114166e-05,0.01476332835},age_hpdi_95={3.114166e-05,0.00918403751},age_qi_95={6.7534471e-05,0.011834200659}]
0,1,1,1,0,0	0.019	0.0401084694154	0:0.01018230653[&age_median=0.01018230653,age_mean=0.0105274458268,age_n=19,age_range={0.00293179967,0.02303102912},age_hpdi_95={0.00293179967,0.02303102912},age_qi_95={0.004118761286,0.020444103761}],1:0.00108618795[&age_median=0.00108618795,age_mean=0.00202650970526,age_n=19,age_range={0.00038774639,0.00663247833},age_hpdi_95={0.00038774639,0.00663247833},age_qi_95={0.000423708626,0.006264227463}]
0,1,0,1,0,0	0.017	0.046783024279	0:0.00622634432[&age_median=0.00622634432,age_mean=0.00599921176059,age_n=17,age_range={0.00080404712,0.0129953794},age_hpdi_95={0.00080404712,0.0129953794},age_qi_95={0.000951804652,0.012659947072}],1:0.00189060502[&age_median=0.00189060502,age_mean=0.00246688980882,age_n=17,age_range={0.00059196905,0.00830801748},age_hpdi_95={0.00059196905,0.00830801748},age_qi_95={0.000635450938,0.007110425008}]
0,1,0,1,0,1	0.016	0.0447798655554	0:0.006667375085[&age_median=0.006667375085,age_mean=0.00814480642187,age_n=16,age_range={0.00122815892,0.0196075121},age_hpdi_95={0.00122815892,0.0196075121},age_qi_95={0.00128628968375,0.0193460876225}],1:0.002105301705[&age_median=0.002105301705,age_mean=0.00242927269687,age_n=16,age_range={0.00015279642,0.00584699},age_hpdi_95={0.00015279642,0.00584699},age_qi_95={0.00018603765375,0.00555272916125}]
0,1,1,0,1,0	0.014	0.0354539772705	0:0.00579586981[&age_median=0.00579586981,age_mean=0.00662398747571,age_n=14,age_range={0.00233196012,0.01281389505},age_hpdi_95={0.00233196012,0.01281389505},age_qi_95={0.00265533101525,0.012312861335}],1:0.003488041875[&age_median=0.003488041875,age_mean=0.00474131498143,age_n=14,age_range={0.00029952477,0.01510546901},age_hpdi_95={0.00029952477,0.01510546901},age_qi_95={0.000476389744,0.0132781026315}]
0,1,0,1,1,0	0.013	0.0400146681225	0:0.0049014807[&age_median=0.0049014807,age_mean=0.00563618002,age_n=13,age_range={0.00087438415,0.01650671208},age_hpdi_95={0.00087438415,0.01650671208},age_qi_95={0.000968358649,0.014141336652}],1:0.00184363776[&age_median=0.00184363776,age_mean=0.00249039973923,age_n=13,age_range={0.0001950385,0.00632463131},age_hpdi_95={0.0001950385,0.00632463131},age_qi_95={0.000264227836,0.006108389192}]
0,0,1,1,0,0	0.013	0.0310855825979	0:0.00743317521[&age_median=0.00743317521,age_mean=0.00671610838769,age_n=13,age_range={0.00152194871,0.01133344812},age_hpdi_95={0.00152194871,0.01133344812},age_qi_95={0.001857606869,0.011317103124}],1:0.00132117561[&age_median=0.00132117561,age_mean=0.00285607808077,age_n=13,age_range={0.00012609921,0.01294672608},age_hpdi_95={0.00012609921,0.01294672608},age_qi_95={0.000182582889,0.011395364397}]
0,0,0,0,1,1	0.013	0.0344956548443	0:0.00242012745[&age_median=0.00242012745,age_mean=0.00299681320846,age_n=13,age_range={0.00063056094,0.0064594334},age_hpdi_95={0.00063056094,0.0064594334},age_qi_95={0.000658078161,0.006406962617}],1:0.0077315185[&age_median=0.0077315185,age_mean=0.00891663290077,age_n=13,age_range={0.0009021037,0.01998039328},age_hpdi_95={0.0009021037,0.01998039328},age_qi_95={0.001856383945,0.018192594574}]
0,1,0,1,1,1	0.012	0.0314309852142	0:0.007581193785[&age_median=0.007581193785,age_mean=0.00859662910167,age_n=12,age_range={0.00216581676,0.02020579324},age_hpdi_95={0.00216581676,0.02020579324},age_qi_95={0.00221635025125,0.0194109630582}],1:0.004078250685[&age_median=0.004078250685,age_mean=0.004638359915,age_n=12,age_range={0.00090404812,0.01041985283},age_hpdi_95={0.00090404812,0.01041985283},age_qi_95={0.00106097228575,0.00961315192125}]
0,0,1,0,1,1	0.012	0.0239128715829	0:0.005206528805[&age_median=0.005206528805,age_mean=0.00511698073083,age_n=12,age_range={0.00097963659,0.01076008792},age_hpdi_95={0.00097963659,0.01076008792},age_qi_95={0.0009923597675,0.0101485293075}],1:0.00549035778[&age_median=0.00549035778,age_mean=0.00565033170417,age_n=12,age_range={0.0006859266,0.01264953598},age_hpdi_95={0.0006859266,0.01264953598},age_qi_95={0.00074376034025,0.0116460196447}]
0,0,1,1,1,1	0.012	0.0260969454035	0:0.00724462765[&age_median=0.00724462765,age_mean=0.0074401573575,age_n=12,age_range={0.00122368411,0.01696258881},age_hpdi_95={0.00122368411,0.01696258881},age_qi_95={0.0013571895095,0.0153131473322}],1:0.00282708666[&age_median=0.00282708666,age_mean=0.004487707435,age_n=12,age_range={0.00143350045,0.00995535319},age_hpdi_95={0.00143350045,0.00995535319},age_qi_95={0.00143793905175,0.0099298194235}]
0,1,1,1,1,1	0.012	0.0234613337565	0:0.020033990845[&age_median=0.020033990845,age_mean=0.0216884211208,age_n=12,age_range={0.0107328189,0.04285086898},age_hpdi_95={0.0107328189,0.04285086898},age_qi_95={0.0107510495878,0.0392513865467}],1:0.004271616935[&age_median=0.004271616935,age_mean=0.00379640146,age_n=12,age_range={0.00064402306,0.00692918345},age_hpdi_95={0.00064402306,0.00692918345},age_qi_95={0.000728895859,0.00675070408025}]
0,1,1,0,1,1	0.011	0.0177129166768	0:0.0050597177[&age_median=0.0050597177,age_mean=0.00549872307273,age_n=11,age_range={0.0018853284,0.01022162723},age_hpdi_95={0.0018853284,0.01022162723},age_qi_95={0.0018982111625,0.010087341865}],1:0.00138425904[&age_median=0.00138425904,age_mean=0.00263400243636,age_n=11,age_range={0.00059734408,0.00656854639},age_hpdi_95={0.00059734408,0.00656854639},age_qi_95={0.0006043053525,0.00638491548}]
0,1,0,0,1,0	0.01	0.019273660085	0:0.00504115626[&age_median=0.00504115626,age_mean=0.004842237992,age_n=10,age_range={0.00157366869,0.00921301367},age_hpdi_95={0.00157366869,0.00921301367},age_qi_95={0.001608114291,0.008711452148}],1:0.00406439408[&age_median=0.00406439408,age_mean=0.003407689516,age_n=10,age_range={2.340221e-05,0.0067640604},age_hpdi_95={2.340221e-05,0.0067640604},age_qi_95={0.0001704890165,0.00654323842275}]
0,0,0,0,1,0	0.01	0.0173565917504	0:0.00234638469[&age_median=0.00234638469,age_mean=0.002489991985,age_n=10,age_range={0.00053811273,0.00460792018},age_hpdi_95={0.00053811273,0.00460792018},age_qi_95={0.0005399417595,0.00450143549425}],1:0.009739501805[&age_median=0.009739501805,age_mean=0.012166993663,age_n=10,age_range={0.00540939716,0.02632391198},age_hpdi_95={0.00540939716,0.02632391198},age_qi_95={0.00544554795725,0.0247164437623}]
0,1,1,1,2,2	0.009	0.0131791875207	0:0.0113415388[&age_median=0.0113415388,age_mean=0.0136189561944,age_n=9,age_range={0.00393169265,0.0366064259},age_hpdi_95={0.00393169265,0.0366064259},age_qi_95={0.004404797364,0.033081553594}],1:0.00132238354[&age_median=0.00132238354,age_mean=0.00255542339222,age_n=9,age_range={0.00015094162,0.00650816097},age_hpdi_95={0.00015094162,0.00650816097},age_qi_95={0.00018147468,0.00618102445}],2:0.01047118126[&age_median=0.01047118126,age_mean=0.0121914228744,age_n=9,age_range={0.00569684153,0.02575361606},age_hpdi_95={0.00569684153,0.02575361606},age_qi_95={0.006021234054,0.023777875214}]
0,0,0,0,0,1	0.009	0.0144728195724	0:0.00327347953[&age_median=0.00327347953,age_mean=0.00362282792333,age_n=9,age_range={0.00108767727,0.01007450029},age_hpdi_95={0.00108767727,0.01007450029},age_qi_95={0.001131174876,0.009110998052}],1:0.00379887281[&age_median=0.00379887281,age_mean=0.00843923955667,age_n=9,age_range={0.00097053153,0.02500704812},age_hpdi_95={0.00097053153,0.02500704812},age_qi_95={0.001302281706,0.024867815352}]
0,0,1,0,1,0	0.009	0.0132032730672	0:0.00124237855[&age_median=0.00124237855,age_mean=0.00195629341,age_n=9,age_range={0.00013543715,0.00625962477},age_hpdi_95={0.00013543715,0.00625962477},age_qi_95={0.00016427896,0.005647569306}],1:0.00809661646[&age_median=0.00809661646,age_mean=0.00764041439889,age_n=9,age_range={0.00034914224,0.01943531899},age_hpdi_95={0.00034914224,0.01943531899},age_qi_95={0.000462209854,0.017956775588}]
0,1,1,1,2,1	0.009	0.0101635006576	0:0.01919400397[&age_median=0.01919400397,age_mean=0.0180238553478,age_n=9,age_range={0.00671077618,0.02889870297},age_hpdi_95={0.00671077618,0.02889870297},age_qi_95={0.00734194975,0.028525437306}],1:0.00119847559[&age_median=0.00119847559,age_mean=0.00192264831222,age_n=9,age_range={9.648422e-05,0.00587888595},age_hpdi_95={9.648422e-05,0.00587888595},age_qi_95={0.000108438122,0.005503262846}],2:0.01097236434[&age_median=0.01097236434,age_mean=0.0105099763467,age_n=9,age_range={0.00252845207,0.02050897062},age_hpdi_95={0.00252845207,0.02050897062},age_qi_95={0.003089204534,0.019216795924}]
0,0,1,0,0,0	0.008	0.0113227300667	0:0.001604357245[&age_median=0.001604357245,age_mean=0.00302938904,age_n=8,age_range={0.00044724609,0.00866773924},age_hpdi_95={0.00044724609,0.00866773924},age_qi_95={0.00046464364325,0.00822994530825}],1:0.006371505065[&age_median=0.006371505065,age_mean=0.00712712538,age_n=8,age_range={0.00035936745,0.02011146505},age_hpdi_95={0.00035936745,0.02011146505},age_qi_95={0.0008805259445,0.0180813143593}]
0,1,1,0,0,1	0.008	0.00879620565315	0:0.00428122473[&age_median=0.00428122473,age_mean=0.0045243921975,age_n=8,age_range={0.00206760676,0.00880594293},age_hpdi_95={0.00206760676,0.00880594293},age_qi_95={0.0020833411675,0.00828290192375}],1:0.004889034555[&age_median=0.004889034555,age_mean=0.00531397249625,age_n=8,age_range={0.00021394638,0.01235683015},age_hpdi_95={0.00021394638,0.01235683015},age_qi_95={0.00051105477025,0.0116088265685}]
0,1,2,2,0,1	0.008	0.00988208266292	0:0.015623297125[&age_median=0.015623297125,age_mean=0.01495574887,age_n=8,age_range={0.00342119132,0.02565011347},age_hpdi_95={0.00342119132,0.02565011347},age_qi_95={0.003977753508,0.0250314551902}],1:0.00240336061[&age_median=0.00240336061,age_mean=0.0032568945125,age_n=8,age_range={0.00077943791,0.00674798117},age_hpdi_95={0.00077943791,0.00674798117},age_qi_95={0.000792358503,0.006632641155}],2:0.00244026806[&age_median=0.00244026806,age_mean=0.00296001371,age_n=8,age_range={6.366691e-05,0.00701053867},age_hpdi_95={6.366691e-05,0.00701053867},age_qi_95={0.000169384214,0.0069023787055}]
0,1,0,1,2,2	0.008	0.00923132472423	0:0.011416872645[&age_median=0.011416872645,age_mean=0.01130518233,age_n=8,age_range={0.00289610994,0.01885399261},age_hpdi_95={0.00289610994,0.01885399261},age_qi_95={0.003119706411,0.0188328621895}],1:0.00080433081[&age_median=0.00080433081,age_mean=0.00136463784,age_n=8,age_range={0.00055620612,0.00327191669},age_hpdi_95={0.00055620612,0.00327191669},age_qi_95={0.00055965777975,0.0032469191825}],2:0.01016731346[&age_median=0.01016731346,age_mean=0.009614782795,age_n=8,age_range={0.00048827376,0.0151109745},age_hpdi_95={0.00048827376,0.0151109745},age_qi_95={0.00140262740825,0.0148170775365}]
0,1,2,2,1,1	0.008	0.0072482531699	0:0.014183414225[&age_median=0.014183414225,age_mean=0.0130317251088,age_n=8,age_range={0.00059173075,0.02261740513},age_hpdi_95={0.00059173075,0.02261740513},age_qi_95={0.00202174438575,0.0218872316317}],1:0.006643632285[&age_median=0.006643632285,age_mean=0.006316874605,age_n=8,age_range={0.00084731567,0.01273148265},age_hpdi_95={0.00084731567,0.01273148265},age_qi_95={0.001103149969,0.012117178351}],2:0.00149561649[&age_median=0.00149561649,age_mean=0.00395038892875,age_n=8,age_range={0.00010909112,0.01402008165},age_hpdi_95={0.00010909112,0.01402008165},age_qi_95={0.0001431019815,0.013017148502}]
0,0,0,1,1,0	0.008	0.00821594866738	0:0.00482049196[&age_median=0.00482049196,age_mean=0.00468525174625,age_n=8,age_range={0.00181702027,0.00732925542},age_hpdi_95={0.00181702027,0.00732925542},age_qi_95={0.00189896269875,0.007303905816}],1:0.003888762265[&age_median=0.003888762265,age_mean=0.00410692055,age_n=8,age_range={0.00182227679,0.00714831519},age_hpdi_95={0.00182227679,0.00714831519},age_qi_95={0.00195964117625,0.0068338257}]
0,1,2,2,2,1	0.007	0.00773642043641	0:0.01315394479[&age_median=0.01315394479,age_mean=0.01481889177,age_n=7,age_range={0.00566736178,0.02923068938},age_hpdi_95={0.00566736178,0.02923068938},age_qi_95={0.005700361018,0.0282383522405}],1:0.00193370296[&age_median=0.00193370296,age_mean=0.00388698292571,age_n=7,age_range={0.001471993,0.00867230514},age_hpdi_95={0.001471993,0.00867230514},age_qi_95={0.001508220064,0.0086062658865}],2:0.00474661088[&age_median=0.00474661088,age_mean=0.00525576036,age_n=7,age_range={0.00116161144,0.01124596212},age_hpdi_95={0.00116161144,0.01124596212},age_qi_95={0.001173445564,0.010933575306}]
0,0,1,1,0,1	0.007	0.00611053135976	0:0.00575322789[&age_median=0.00575322789,age_mean=0.00643053949,age_n=7,age_range={0.00230496593,0.01342176412},age_hpdi_95={0.00230496593,0.01342176412},age_qi_95={0.002469925112,0.012716694679}],1:0.00207348913[&age_median=0.00207348913,age_mean=0.00360611641143,age_n=7,age_range={0.00053996084,0.00887737037},age_hpdi_95={0.00053996084,0.00887737037},age_qi_95={0.000649830782,0.008745863777}]
0,1,1,1,0,2	0.007	0.00695956186951	0:0.01114108448[&age_median=0.01114108448,age_mean=0.0113028637971,age_n=7,age_range={0.00031794277,0.01930213132},age_hpdi_95={0.00031794277,0.01930213132},age_qi_95={0.000957340204,0.0192738237235}],1:0.00125964139[&age_median=0.00125964139,age_mean=0.00161939150857,age_n=7,age_range={0.0009173434,0.0036036824},age_hpdi_95={0.0009173434,0.0036036824},age_qi_95={0.0009536095405,0.0033364660595}],2:0.00895463503[&age_median=0.00895463503,age_mean=0.0107677410514,age_n=7,age_range={0.00572663646,0.02324787675},age_hpdi_95={0.00572663646,0.02324787675},age_qi_95={0.0059264805105,0.0218555340135}]
0,1,0,0,0,1	0.007	0.00658219693908	0:0.00362972058[&age_median=0.00362972058,age_mean=0.00572277368571,age_n=7,age_range={0.00135791287,0.01428542415},age_hpdi_95={0.00135791287,0.01428542415},age_qi_95={0.001621592512,0.013332362475}],1:0.0032282084[&age_median=0.0032282084,age_mean=0.00618329680857,age_n=7,age_range={0.00272241238,0.01445334989},age_hpdi_95={0.00272241238,0.01445334989},age_qi_95={0.0027518149945,0.0139910479745}]
0,1,2,1,0,1	0.007	0.00521761398476	0:0.01438484176[&age_median=0.01438484176,age_mean=0.01565743531,age_n=7,age_range={0.00659357367,0.02198695813},age_hpdi_95={0.00659357367,0.02198695813},age_qi_95={0.0071770315095,0.0219241100725}],1:0.0049153698[&age_median=0.0049153698,age_mean=0.00425692560714,age_n=7,age_range={0.00018655051,0.00757553262},age_hpdi_95={0.00018655051,0.00757553262},age_qi_95={0.0004174490755,0.007535837724}],2:0.00394383928[&age_median=0.00394383928,age_mean=0.00498729641857,age_n=7,age_range={0.00087607689,0.01123671176},age_hpdi_95={0.00087607689,0.01123671176},age_qi_95={0.001208199777,0.0106500296765}]
0,1,2,2,3,4	0.006	0.00596338190492	0:0.011835545325[&age_median=0.011835545325,age_mean=0.01218648222,age_n=6,age_range={0.00045419515,0.02867974874},age_hpdi_95={0.00045419515,0.02867974874},age_qi_95={0.00103462802625,0.026996805225}],1:0.00272052085[&age_median=0.00272052085,age_mean=0.00266966355333,age_n=6,age_range={0.00045244883,0.00512600216},age_hpdi_95={0.00045244883,0.00512600216},age_qi_95={0.00046249529,0.005043460405}],2:0.001788647575[&age_median=0.001788647575,age_mean=0.00252164159,age_n=6,age_range={0.0011844382,0.00488869029},age_hpdi_95={0.0011844382,0.00488869029},age_qi_95={0.0012393712675,0.00475954439875}],3:0.006538766565[&age_median=0.006538766565,age_mean=0.00829960935333,age_n=6,age_range={0.0048708257,0.01407342608},age_hpdi_95={0.0048708257,0.01407342608},age_qi_95={0.00488065638625,0.0139175478225}],4:0.01354731933[&age_median=0.01354731933,age_mean=0.012340522935,age_n=6,age_range={0.00076076039,0.02480875309},age_hpdi_95={0.00076076039,0.02480875309},age_qi_95={0.00145318176125,0.0235925157175}]
