divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,3,4,5	0.061	0.00280453926312	0:0.02280171697[&age_median=0.02280171697,age_mean=0.0267047857128,age_n=61,age_range={0.00199679288,0.09950413767},age_hpdi_95={0.00199679288,0.06055239844},age_qi_95={0.003295432645,0.063812698605}],1:0.00569659703[&age_median=0.00569659703,age_mean=0.00842578751262,age_n=61,age_range={0.00021856931,0.03313563176},age_hpdi_95={0.00021856931,0.02569315208},age_qi_95={0.000257106785,0.031303147285}],2:0.00900271097[&age_median=0.00900271097,age_mean=0.0105555780882,age_n=61,age_range={4.17478e-06,0.03586804955},age_hpdi_95={4.17478e-06,0.02530997154},age_qi_95={0.0002088223,0.028360128855}],3:0.00683900769[&age_median=0.00683900769,age_mean=0.00863308982934,age_n=61,age_range={0.00042363178,0.02951809522},age_hpdi_95={0.00042363178,0.02558952622},age_qi_95={0.000529278375,0.02666211857}],4:0.01501493085[&age_median=0.01501493085,age_mean=0.0175374798421,age_n=61,age_range={0.00030383369,0.05495148523},age_hpdi_95={0.00030383369,0.04250217033},age_qi_95={0.00112329812,0.047269063535}],5:0.01064479038[&age_median=0.01064479038,age_mean=0.0132449273133,age_n=61,age_range={0.00019750661,0.04918951254},age_hpdi_95={0.00019750661,0.03588208153},age_qi_95={0.00097747973,0.04134426491}]
0,1,2,3,4,2	0.028	0.00507752216256	0:0.01762203174[&age_median=0.01762203174,age_mean=0.0184067595579,age_n=28,age_range={0.00237315782,0.04939416192},age_hpdi_95={0.00237315782,0.04801086697},age_qi_95={0.0025102960715,0.0484604378288}],1:0.00695926199[&age_median=0.00695926199,age_mean=0.0096431531825,age_n=28,age_range={5.180605e-05,0.02903327934},age_hpdi_95={5.180605e-05,0.02653854071},age_qi_95={0.000409652251,0.0273493307647}],2:0.00698332565[&age_median=0.00698332565,age_mean=0.00833630551857,age_n=28,age_range={9.438106e-05,0.02413900551},age_hpdi_95={9.438106e-05,0.0233149788},age_qi_95={0.00040347400225,0.0235827874807}],3:0.00637284706[&age_median=0.00637284706,age_mean=0.0101504430557,age_n=28,age_range={0.00062687582,0.03668806925},age_hpdi_95={0.00062687582,0.02993788611},age_qi_95={0.00098652716,0.0321316956305}],4:0.015065739035[&age_median=0.015065739035,age_mean=0.0175126652557,age_n=28,age_range={8.292728e-05,0.04096713836},age_hpdi_95={0.00100298571,0.04096713836},age_qi_95={0.00070396672025,0.040564395398}]
0,1,2,1,3,4	0.02	0.00677656140819	0:0.018653137145[&age_median=0.018653137145,age_mean=0.0202283628145,age_n=20,age_range={0.00208119303,0.05204041101},age_hpdi_95={0.00208119303,0.0381949808},age_qi_95={0.0023114071285,0.0454638316602}],1:0.00742846916[&age_median=0.00742846916,age_mean=0.0082481389325,age_n=20,age_range={2.57723e-05,0.01887062015},age_hpdi_95={2.57723e-05,0.01841581231},age_qi_95={8.19057955e-05,0.018654586426}],2:0.00799095994[&age_median=0.00799095994,age_mean=0.0114671503135,age_n=20,age_range={2.30784e-06,0.03003283029},age_hpdi_95={2.30784e-06,0.02560707467},age_qi_95={0.00079176482725,0.0279305963705}],3:0.00770458738[&age_median=0.00770458738,age_mean=0.011092311843,age_n=20,age_range={6.303217e-05,0.04033158398},age_hpdi_95={6.303217e-05,0.0381320505},age_qi_95={0.00024620068675,0.039286805577}],4:0.0115354707[&age_median=0.0115354707,age_mean=0.0126775061655,age_n=20,age_range={0.00068379076,0.03212940419},age_hpdi_95={0.00068379076,0.02640147258},age_qi_95={0.001007665539,0.0294086366752}]
0,1,2,3,4,4	0.02	0.00622738977181	0:0.02526214968[&age_median=0.02526214968,age_mean=0.0284627113295,age_n=20,age_range={0.00106895363,0.06835953605},age_hpdi_95={0.00106895363,0.05054170716},age_qi_95={0.002871643268,0.0598960673272}],1:0.00884294199[&age_median=0.00884294199,age_mean=0.009658840083,age_n=20,age_range={0.00039609214,0.03280540965},age_hpdi_95={0.00039609214,0.02268287498},age_qi_95={0.00077295185325,0.0279972056817}],2:0.006457815045[&age_median=0.006457815045,age_mean=0.0079875091905,age_n=20,age_range={0.00063241734,0.03501760006},age_hpdi_95={0.00063241734,0.01549722649},age_qi_95={0.0006556524875,0.0257454226142}],3:0.008168723425[&age_median=0.008168723425,age_mean=0.009544780033,age_n=20,age_range={0.00249876937,0.02538430787},age_hpdi_95={0.00249876937,0.01800717489},age_qi_95={0.0025443363765,0.0218801697045}],4:0.014639480145[&age_median=0.014639480145,age_mean=0.013897846024,age_n=20,age_range={0.00040081798,0.03272973286},age_hpdi_95={0.00040081798,0.02902367952},age_qi_95={0.0009272517875,0.0309693575235}]
0,1,2,3,1,4	0.019	0.0067569370225	0:0.01412557034[&age_median=0.01412557034,age_mean=0.0183583930411,age_n=19,age_range={0.00103314415,0.04760176022},age_hpdi_95={0.00103314415,0.04760176022},age_qi_95={0.0021938485855,0.0467058344525}],1:0.0074833282[&age_median=0.0074833282,age_mean=0.0102670237174,age_n=19,age_range={0.00028249878,0.03673087979},age_hpdi_95={0.00028249878,0.03673087979},age_qi_95={0.000889668939,0.0298555898315}],2:0.00751433141[&age_median=0.00751433141,age_mean=0.00888635416368,age_n=19,age_range={4.981042e-05,0.02664342288},age_hpdi_95={4.981042e-05,0.02664342288},age_qi_95={0.000139218256,0.026269314201}],3:0.00806846147[&age_median=0.00806846147,age_mean=0.00944384763368,age_n=19,age_range={0.00068502696,0.02554580321},age_hpdi_95={0.00068502696,0.02554580321},age_qi_95={0.000793870827,0.0241460283725}],4:0.01546105513[&age_median=0.01546105513,age_mean=0.0167310091811,age_n=19,age_range={0.00011652448,0.0439307604},age_hpdi_95={0.00011652448,0.0439307604},age_qi_95={0.0004024329385,0.0410087979585}]
0,1,2,3,2,4	0.017	0.00728033784722	0:0.0229684832[&age_median=0.0229684832,age_mean=0.0304580016094,age_n=17,age_range={0.00323095292,0.07246219406},age_hpdi_95={0.00323095292,0.07246219406},age_qi_95={0.00707030746,0.072024008536}],1:0.00685752613[&age_median=0.00685752613,age_mean=0.00829389061118,age_n=17,age_range={0.00017453376,0.02755584059},age_hpdi_95={0.00017453376,0.02755584059},age_qi_95={0.000355516216,0.026285584506}],2:0.00779435464[&age_median=0.00779435464,age_mean=0.0108460991235,age_n=17,age_range={0.00263517801,0.02831998549},age_hpdi_95={0.00263517801,0.02831998549},age_qi_95={0.003627420718,0.026808958642}],3:0.00883827178[&age_median=0.00883827178,age_mean=0.0107289591159,age_n=17,age_range={0.00074562355,0.02471996406},age_hpdi_95={0.00074562355,0.02471996406},age_qi_95={0.000764613766,0.024053281524}],4:0.00797294287[&age_median=0.00797294287,age_mean=0.01187964056,age_n=17,age_range={0.00139226708,0.04509468464},age_hpdi_95={0.00139226708,0.04509468464},age_qi_95={0.001576718408,0.038223064052}]
0,1,1,2,3,4	0.017	0.00778914859327	0:0.013739858[&age_median=0.013739858,age_mean=0.0182538813235,age_n=17,age_range={0.00186037922,0.04998430596},age_hpdi_95={0.00186037922,0.04998430596},age_qi_95={0.001887758688,0.044969790784}],1:0.00705265166[&age_median=0.00705265166,age_mean=0.00800728468706,age_n=17,age_range={0.00100459924,0.01970976151},age_hpdi_95={0.00100459924,0.01970976151},age_qi_95={0.001129399808,0.018814709662}],2:0.00796312514[&age_median=0.00796312514,age_mean=0.00889802466882,age_n=17,age_range={8.414769e-05,0.02429008421},age_hpdi_95={8.414769e-05,0.02429008421},age_qi_95={0.00040812977,0.02217852197}],3:0.01505766318[&age_median=0.01505766318,age_mean=0.0188112468947,age_n=17,age_range={0.00228057307,0.04553619886},age_hpdi_95={0.00228057307,0.04553619886},age_qi_95={0.002596668146,0.045430809328}],4:0.0158328753[&age_median=0.0158328753,age_mean=0.0160550251982,age_n=17,age_range={0.00110060988,0.04276835206},age_hpdi_95={0.00110060988,0.04276835206},age_qi_95={0.001240778724,0.038031454096}]
0,1,2,3,4,3	0.016	0.00998483634455	0:0.026049146885[&age_median=0.026049146885,age_mean=0.0287507703631,age_n=16,age_range={0.01179013905,0.07090991139},age_hpdi_95={0.01179013905,0.07090991139},age_qi_95={0.0118176982463,0.061186007235}],1:0.00575517289[&age_median=0.00575517289,age_mean=0.00867327489188,age_n=16,age_range={0.00059113472,0.0265909864},age_hpdi_95={0.00059113472,0.0265909864},age_qi_95={0.00071818868375,0.0248416018187}],2:0.00367566395[&age_median=0.00367566395,age_mean=0.00614634193625,age_n=16,age_range={8.714827e-05,0.01967544373},age_hpdi_95={8.714827e-05,0.01967544373},age_qi_95={0.00044542292125,0.0194517789025}],3:0.00412861049[&age_median=0.00412861049,age_mean=0.00608568420688,age_n=16,age_range={0.00078760957,0.01530601982},age_hpdi_95={0.00078760957,0.01530601982},age_qi_95={0.00088135180375,0.014893849625}],4:0.01492832317[&age_median=0.01492832317,age_mean=0.0145968186638,age_n=16,age_range={0.0015289808,0.03279579517},age_hpdi_95={0.0015289808,0.03279579517},age_qi_95={0.00249726581,0.031550062405}]
0,1,2,2,3,4	0.015	0.00881276092995	0:0.01405372705[&age_median=0.01405372705,age_mean=0.0165001049187,age_n=15,age_range={0.00398954122,0.04073563288},age_hpdi_95={0.00398954122,0.04073563288},age_qi_95={0.0041680161915,0.0377852441345}],1:0.00395259242[&age_median=0.00395259242,age_mean=0.00759361217867,age_n=15,age_range={0.00038825688,0.02631172929},age_hpdi_95={0.00038825688,0.02631172929},age_qi_95={0.0007044537085,0.022835454761}],2:0.00568644729[&age_median=0.00568644729,age_mean=0.00675003818333,age_n=15,age_range={0.0010594178,0.01632336905},age_hpdi_95={0.0010594178,0.01632336905},age_qi_95={0.00106751477,0.015484896933}],3:0.01800901322[&age_median=0.01800901322,age_mean=0.018074088312,age_n=15,age_range={0.00338229499,0.04399963963},age_hpdi_95={0.00338229499,0.04399963963},age_qi_95={0.003418628609,0.043503297574}],4:0.00736460571[&age_median=0.00736460571,age_mean=0.009293296408,age_n=15,age_range={0.00070094578,0.02676747353},age_hpdi_95={0.00070094578,0.02676747353},age_qi_95={0.000808010542,0.0245550500405}]
0,1,2,3,3,4	0.015	0.0092140015384	0:0.02063465673[&age_median=0.02063465673,age_mean=0.027233204542,age_n=15,age_range={0.00035044753,0.0654546846},age_hpdi_95={0.00035044753,0.0654546846},age_qi_95={0.000562038266,0.0652414917425}],1:0.00306579303[&age_median=0.00306579303,age_mean=0.00675861534333,age_n=15,age_range={0.00043074049,0.0297735347},age_hpdi_95={0.00043074049,0.0297735347},age_qi_95={0.000447088591,0.0246315485675}],2:0.00866944425[&age_median=0.00866944425,age_mean=0.00903014362933,age_n=15,age_range={0.00010925478,0.02307368875},age_hpdi_95={0.00010925478,0.02307368875},age_qi_95={0.0011353321575,0.021740860694}],3:0.01271001712[&age_median=0.01271001712,age_mean=0.0110470494273,age_n=15,age_range={0.00104610425,0.02728888386},age_hpdi_95={0.00104610425,0.02728888386},age_qi_95={0.0013528953885,0.0234942688715}],4:0.00977872861[&age_median=0.00977872861,age_mean=0.0124899525547,age_n=15,age_range={0.0001267361,0.0356900657},age_hpdi_95={0.0001267361,0.0356900657},age_qi_95={0.0002967477285,0.0342378136995}]
