what	PRI.div.model	PRI.Psi	PRI.E.t	PRI.omega	PRI.cv
mode	4.65766	4.01802	0.00389714	0.00327377	0.857844
mean	0.281512	0.791102	0.257896	0.12847	0.361677
median	33.1563	4.01579	0.00385766	0.00444297	0.861094
quantile_50_lower_bound	12.3601	3.05255	0.00288879	0.00253845	0.626944
quantile_50_upper_bound	77.3207	4.95028	0.00482174	0.00697336	1.10358
quantile_90_lower_bound	3.14963	1.87786	0.0016252	0.000701354	0.262011
quantile_90_upper_bound	138.964	5.84276	0.00625091	0.0126784	1.52805
quantile_95_lower_bound	2.04933	1.54904	0.00124897	0.000372275	0.126988
quantile_95_upper_bound	157.191	5.92658	0.00676016	0.0148364	1.64335
quantile_99_lower_bound	1.14396	1.06195	0.000596314	6.49964e-05	0.024033
quantile_99_upper_bound	169.663	5.98524	0.00780589	0.0185402	1.92419
HPD_50_lower_bound	1	2.87178	0.00287272	0.00143317	0.603399
HPD_50_upper_bound	33.048	6.00009	0.00480097	0.00544174	1.07836
HPD_90_lower_bound	1	1.77074	0.00154708	1.2883e-06	0.293219
HPD_90_upper_bound	115.258	6.00003	0.00612661	0.0102292	1.55333
HPD_95_lower_bound	0.999992	0.999977	0.00113967	1.06895e-06	-2.0848e-05
HPD_95_upper_bound	163.33	6.00002	0.00660939	0.0126439	1.61393
HPD_99_lower_bound	0.999999	0.999996	0.000446284	9.69021e-07	1.01215e-06
HPD_99_upper_bound	172.039	6	0.00757411	0.0171045	1.79566
