PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
55	0.00422966426	0.00422966426	0.00325473728	0.00104890879	0.01845525041	0.00325473728	0.012854	0.003968	0.010059	0.001669	0.004204	0.011533	0.012854	0.003968	0.010059	0.001669	0.004204	0.011533	0.012854	0.003968	0.010059	0.001669	0.004204	0.011533	1	4	4.01198076628227e-05	0.00574549371333333	0.00698283031268806	1.10243265105245	0.027659	0.004847	0.004594	0.003178	0.021238	0.006927	0.027528	0.005186	0.009677	0.003485	0.015151	0.012629	0.009887	0.006403	0.012066	0.006188	0.030277	0.000000	0.049187	0.022204	0.027313	0.019919	0.037147	0.032264
4	0.00309075404	0.00717532658	0.00430080798	0.00004268404	0.01324148749	0.00717532658	0.018906	0.005611	0.005576	0.002869	0.005330	0.008791	0.018906	0.005611	0.005576	0.002869	0.005330	0.008791	0.018906	0.005611	0.005576	0.002869	0.005330	0.008791	1	5	2.0376903618254e-05	0.00583773111833333	0.00349055192937211	0.773259043319658	0.025385	0.005120	0.004492	0.003398	0.018736	0.015459	0.030969	0.003457	0.008797	0.004289	0.013888	0.016689	0.008022	0.007664	0.003972	0.002109	0.027351	0.004157	0.052236	0.018119	0.026033	0.022104	0.035549	0.037145
65	0.01030552177	0.00869276487	0.00953614068	0.00953614068	0.00779927797	0.01030552177	0.021644	0.003149	0.007449	0.002500	0.013272	0.005894	0.021644	0.003149	0.007449	0.002500	0.013272	0.005894	0.021644	0.003149	0.007449	0.002500	0.013272	0.005894	1	4	9.46218105156828e-07	0.00936256129	0.000101064022530615	0.103896508503492	0.027560	0.006281	0.007007	0.005100	0.013860	0.005810	0.029822	0.006050	0.007037	0.004021	0.016414	0.009923	0.014670	0.005738	0.023587	0.011188	0.016603	0.014000	0.051238	0.023991	0.023269	0.021400	0.038682	0.028569
6	0.00988057067	0.00043717884	0.00043717884	0.00005653491	0.00468769582	0.00205195030	0.015995	0.009034	0.008988	0.003261	0.015772	0.006723	0.015995	0.009034	0.008988	0.003261	0.015772	0.006723	0.015995	0.009034	0.008988	0.003261	0.015772	0.006723	1	5	1.45711751387191e-05	0.00292518489666667	0.0049812834584656	1.3049502854349	0.034017	0.004659	0.003799	0.001016	0.015370	0.008950	0.035557	0.008643	0.007037	0.002413	0.019360	0.008570	0.018312	0.000981	0.003036	0.000001	0.004783	0.001621	0.056066	0.028702	0.023269	0.016567	0.042055	0.026537
1	0.02105106659	0.00140684823	0.00452504602	0.00120743652	0.00855574896	0.00640406655	0.017492	0.006443	0.008741	0.008476	0.010555	0.007945	0.017492	0.006443	0.008741	0.008476	0.010555	0.007945	0.017492	0.006443	0.008741	0.008476	0.010555	0.007945	1	6	5.41900002281601e-05	0.007191702145	0.0075350729403936	1.02359436002601	0.041694	0.001348	0.007597	0.004907	0.014619	0.010613	0.035557	0.003457	0.007037	0.006969	0.014309	0.013531	0.024091	0.000079	0.000752	0.002625	0.013053	0.015344	0.056066	0.018119	0.023269	0.028203	0.036090	0.033407
10	0.01622458507	0.00133121072	0.00101591366	0.00364883829	0.00889075014	0.00101591366	0.026022	0.004541	0.006129	0.003188	0.005736	0.010200	0.026022	0.004541	0.006129	0.003188	0.005736	0.010200	0.026022	0.004541	0.006129	0.003188	0.005736	0.010200	1	5	3.74813231666042e-05	0.00535453525666667	0.0069999208838784	1.14336705549775	0.022389	0.004449	0.008264	0.006090	0.016337	0.005005	0.029822	0.005186	0.010556	0.005629	0.014730	0.009021	0.013872	0.002666	0.007822	0.010463	0.025048	0.005205	0.051238	0.022204	0.028537	0.025335	0.036622	0.027231
20	0.00923637908	0.00006337276	0.00258000437	0.00006337276	0.00289985546	0.00006337276	0.013407	0.009085	0.006452	0.004718	0.013498	0.007672	0.013407	0.009085	0.006452	0.004718	0.013498	0.007672	0.013407	0.009085	0.006452	0.004718	0.013498	0.007672	1	4	1.2671016724345e-05	0.002484392865	0.00510024678578565	1.43279962361958	0.024631	0.003926	0.007212	0.004993	0.008724	0.010205	0.028675	0.005186	0.004398	0.004289	0.012626	0.009472	0.021404	0.000000	0.001186	0.000000	0.003184	0.000883	0.050222	0.022204	0.018377	0.022104	0.033879	0.027908
16	0.00460443817	0.00460443817	0.00140805074	0.00044243597	0.00056342766	0.00382291361	0.013065	0.002805	0.005476	0.003363	0.011082	0.009052	0.013065	0.002805	0.005476	0.003363	0.011082	0.009052	0.013065	0.002805	0.005476	0.003363	0.011082	0.009052	1	5	3.95010941415376e-06	0.00257428405333333	0.00153444970808056	0.772054744614811	0.022345	0.000586	0.001951	0.001341	0.013207	0.010179	0.024087	0.001729	0.005278	0.002681	0.014730	0.013531	0.004056	0.000095	0.000000	0.000117	0.004513	0.004622	0.045952	0.012804	0.020137	0.017465	0.036622	0.033407
1	0.00826179927	0.01299316762	0.00317197815	0.00018673451	0.00791980231	0.00483108391	0.017094	0.004568	0.004256	0.004377	0.012374	0.003898	0.017094	0.004568	0.004256	0.004377	0.012374	0.003898	0.017094	0.004568	0.004256	0.004377	0.012374	0.003898	1	6	2.01107116637315e-05	0.00622742762833333	0.00322937701792511	0.720120261593273	0.028325	0.014161	0.006494	0.001599	0.012493	0.010189	0.038998	0.007779	0.007037	0.003217	0.014309	0.009923	0.008286	0.023293	0.002128	0.000000	0.008415	0.005685	0.058789	0.027220	0.023269	0.019135	0.036090	0.028569
1	0.00595994011	0.00182070149	0.00401814787	0.00037220397	0.00068467573	0.00575099382	0.023079	0.004568	0.002319	0.001891	0.007176	0.008168	0.023079	0.004568	0.002319	0.001891	0.007176	0.008168	0.023079	0.004568	0.002319	0.001891	0.007176	0.008168	1	6	6.19225619332685e-06	0.00310111049833333	0.00199678669839557	0.802430110531259	0.019904	0.001570	0.003799	0.000982	0.005987	0.009247	0.032116	0.005186	0.004398	0.001608	0.010101	0.012629	0.010489	0.000057	0.006512	0.001257	0.000000	0.004412	0.053217	0.022204	0.018377	0.013523	0.030275	0.032264
