number	PRI.div.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density	PRI.cv	density
1	1	0.0216031	1	0.0775756	0.000113566	5.74304	0	57.7476	0	0.1943
2	1.17417	0.0217566	1.00501	0.0777176	0.00012864	5.95442	4.09221e-05	59.0977	0.00242329	0.19529
3	1.34835	0.0219029	1.01001	0.0778209	0.000143714	6.17179	8.18442e-05	60.457	0.00484658	0.196211
4	1.52252	0.0220419	1.01502	0.0778852	0.000158788	6.39527	0.000122766	61.8248	0.00726986	0.197063
5	1.6967	0.0221735	1.02002	0.0779106	0.000173862	6.62498	0.000163688	63.2004	0.00969315	0.197848
6	1.87087	0.0222977	1.02503	0.0778969	0.000188936	6.86104	0.000204611	64.583	0.0121164	0.198564
7	2.04505	0.0224144	1.03003	0.0778443	0.00020401	7.10359	0.000245533	65.9719	0.0145397	0.199212
8	2.21922	0.0225235	1.03504	0.0777527	0.000219084	7.35276	0.000286455	67.3664	0.016963	0.199792
9	2.39339	0.022625	1.04004	0.0776224	0.000234158	7.60867	0.000327377	68.7656	0.0193863	0.200306
10	2.56757	0.0227188	1.04505	0.0774536	0.000249232	7.87147	0.000368299	70.1687	0.0218096	0.200753
11	2.74174	0.0228049	1.05005	0.0772464	0.000264306	8.14129	0.000409221	71.575	0.0242329	0.201133
12	2.91592	0.0228833	1.05506	0.0770013	0.00027938	8.41828	0.000450143	72.9837	0.0266562	0.201449
13	3.09009	0.0229541	1.06006	0.0767187	0.000294454	8.70257	0.000491065	74.3938	0.0290795	0.201701
14	3.26426	0.0230171	1.06507	0.0763988	0.000309528	8.99432	0.000531987	75.8047	0.0315027	0.20189
15	3.43844	0.0230725	1.07007	0.0760424	0.000324602	9.29367	0.000572909	77.2154	0.033926	0.202016
16	3.61261	0.0231202	1.07508	0.0756498	0.000339676	9.60079	0.000613832	78.6251	0.0363493	0.202082
17	3.78679	0.0231603	1.08008	0.0752218	0.00035475	9.91583	0.000654754	80.033	0.0387726	0.202089
18	3.96096	0.0231929	1.08509	0.0747589	0.000369824	10.2389	0.000695676	81.4381	0.0411959	0.202038
19	4.13514	0.0232179	1.09009	0.0742618	0.000384898	10.5703	0.000736598	82.8397	0.0436192	0.201931
20	4.30931	0.0232356	1.0951	0.0737313	0.000399972	10.9101	0.00077752	84.2369	0.0460425	0.201769
21	4.48348	0.0232458	1.1001	0.0731683	0.000415046	11.2584	0.000818442	85.6288	0.0484658	0.201554
22	4.65766	0.0232488	1.10511	0.0725735	0.00043012	11.6155	0.000859364	87.0145	0.0508891	0.201288
23	4.83183	0.0232445	1.11011	0.0719478	0.000445194	11.9816	0.000900286	88.3933	0.0533123	0.200973
24	5.00601	0.0232332	1.11512	0.0712921	0.000460268	12.3567	0.000941208	89.7642	0.0557356	0.200611
25	5.18018	0.023215	1.12012	0.0706075	0.000475342	12.7412	0.000982131	91.1263	0.0581589	0.200204
26	5.35435	0.0231898	1.12513	0.069895	0.000490416	13.1352	0.00102305	92.4789	0.0605822	0.199754
27	5.52853	0.023158	1.13013	0.0691554	0.00050549	13.5388	0.00106397	93.8211	0.0630055	0.199263
28	5.7027	0.0231195	1.13514	0.0683901	0.000520564	13.9523	0.0011049	95.1521	0.0654288	0.198733
29	5.87688	0.0230746	1.14014	0.0675999	0.000535638	14.3759	0.00114582	96.4711	0.0678521	0.198168
30	6.05105	0.0230234	1.14515	0.0667862	0.000550712	14.8098	0.00118674	97.7771	0.0702754	0.197568
31	6.22522	0.022966	1.15015	0.06595	0.000565786	15.2542	0.00122766	99.0695	0.0726986	0.196938
32	6.3994	0.0229027	1.15516	0.0650925	0.00058086	15.7093	0.00126859	100.347	0.0751219	0.196278
33	6.57357	0.0228335	1.16016	0.0642149	0.000595934	16.1753	0.00130951	101.61	0.0775452	0.195592
