divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,3,4,5	0.161	0.0113446275883	0:0.01333741843[&age_median=0.01333741843,age_mean=0.0154955679163,age_n=161,age_range={0.00011677534,0.05192151444},age_hpdi_95={0.00039486799,0.03502320917},age_qi_95={0.00176097064,0.03717884989}],1:0.00332965469[&age_median=0.00332965469,age_mean=0.00451707601957,age_n=161,age_range={4.026328e-05,0.02543522444},age_hpdi_95={9.928579e-05,0.01306447793},age_qi_95={0.00023707444,0.01507396925}],2:0.00382091772[&age_median=0.00382091772,age_mean=0.00488916620596,age_n=161,age_range={1.79065e-06,0.02255574802},age_hpdi_95={1.79065e-06,0.01480197529},age_qi_95={0.00018100641,0.01595676925}],3:0.00313361278[&age_median=0.00313361278,age_mean=0.00400997437795,age_n=161,age_range={8.13979e-06,0.01380000372},age_hpdi_95={8.13979e-06,0.01035404183},age_qi_95={0.00014236925,0.01220413583}],4:0.00982158894[&age_median=0.00982158894,age_mean=0.0112094987739,age_n=161,age_range={0.0002633039,0.03824651279},age_hpdi_95={0.0002633039,0.0261961424},age_qi_95={0.00082461101,0.02865308874}],5:0.00653904139[&age_median=0.00653904139,age_mean=0.00810982655776,age_n=161,age_range={9.002859e-05,0.03296731726},age_hpdi_95={9.002859e-05,0.02109597721},age_qi_95={0.00041524402,0.02545004819}]
0,0,0,0,0,0	0.036	0.0233064923637	0:0.00274574273[&age_median=0.00274574273,age_mean=0.00326197461361,age_n=36,age_range={0.00011356612,0.01349174914},age_hpdi_95={0.00011356612,0.00933014787},age_qi_95={0.00038757183625,0.00985034802875}]
0,1,2,1,3,4	0.029	0.0238931180072	0:0.01392298394[&age_median=0.01392298394,age_mean=0.0153341265372,age_n=29,age_range={0.0011205181,0.05961032981},age_hpdi_95={0.0011205181,0.03633671964},age_qi_95={0.001486614306,0.043318802691}],1:0.00182560957[&age_median=0.00182560957,age_mean=0.00269747208862,age_n=29,age_range={6.436592e-05,0.01289125708},age_hpdi_95={6.436592e-05,0.00649693163},age_qi_95={0.000160428642,0.008415229265}],2:0.00376674942[&age_median=0.00376674942,age_mean=0.00572314912552,age_n=29,age_range={0.00068985727,0.02394609118},age_hpdi_95={0.00068985727,0.01777486446},age_qi_95={0.000773668242,0.019626232476}],3:0.00891673304[&age_median=0.00891673304,age_mean=0.00985899699483,age_n=29,age_range={0.00084986026,0.02673865336},age_hpdi_95={0.00084986026,0.02456443535},age_qi_95={0.001560869083,0.025216700753}],4:0.00842054281[&age_median=0.00842054281,age_mean=0.00909823988103,age_n=29,age_range={0.00099296761,0.02712920647},age_hpdi_95={0.00099296761,0.0204642914},age_qi_95={0.00126884587,0.022463765921}]
0,1,2,3,4,1	0.024	0.0241924540543	0:0.017746054125[&age_median=0.017746054125,age_mean=0.0182622308333,age_n=24,age_range={0.00309075404,0.03907324319},age_hpdi_95={0.00309075404,0.03295527855},age_qi_95={0.0041100745145,0.035555413522}],1:0.004138053195[&age_median=0.004138053195,age_mean=0.00502571618333,age_n=24,age_range={0.00036082123,0.01788157387},age_hpdi_95={0.00036082123,0.01101703127},age_qi_95={0.0003678800105,0.013934461875}],2:0.003459876085[&age_median=0.003459876085,age_mean=0.00542183409042,age_n=24,age_range={9.801836e-05,0.02126766853},age_hpdi_95={9.801836e-05,0.01505537994},age_qi_95={0.00020561833425,0.0176956025908}],3:0.00172850613[&age_median=0.00172850613,age_mean=0.00293180114625,age_n=24,age_range={4.268404e-05,0.0085453233},age_hpdi_95={4.268404e-05,0.00838423282},age_qi_95={0.00012667572175,0.008452696274}],4:0.010138786025[&age_median=0.010138786025,age_mean=0.0105999078129,age_n=24,age_range={2.444871e-05,0.02527688922},age_hpdi_95={2.444871e-05,0.01980155147},age_qi_95={0.0002514221745,0.0221285700138}]
0,1,2,3,0,4	0.024	0.0201871569605	0:0.015697042645[&age_median=0.015697042645,age_mean=0.0153435824158,age_n=24,age_range={0.00625819674,0.0269527309},age_hpdi_95={0.00625819674,0.02558136359},age_qi_95={0.006309798344,0.0261641946967}],1:0.00217437852[&age_median=0.00217437852,age_mean=0.00390175681,age_n=24,age_range={0.00029602813,0.01250528381},age_hpdi_95={0.00029602813,0.01079810126},age_qi_95={0.0006525776375,0.0115236538438}],2:0.00408710256[&age_median=0.00408710256,age_mean=0.00543861188208,age_n=24,age_range={0.00018252966,0.01662415242},age_hpdi_95={0.00018252966,0.01403042792},age_qi_95={0.0002538458175,0.0151327608325}],3:0.00257086642[&age_median=0.00257086642,age_mean=0.00369026574625,age_n=24,age_range={5.093471e-05,0.01172316049},age_hpdi_95={5.093471e-05,0.00916520583},age_qi_95={0.00016527337375,0.0102523365605}],4:0.00649413952[&age_median=0.00649413952,age_mean=0.00780724581375,age_n=24,age_range={0.00094718731,0.02349276369},age_hpdi_95={0.00094718731,0.01880774647},age_qi_95={0.001400958059,0.0207988787885}]
0,1,1,2,3,4	0.024	0.0240310524749	0:0.012014965245[&age_median=0.012014965245,age_mean=0.0126531983196,age_n=24,age_range={0.00097895596,0.03363124233},age_hpdi_95={0.00097895596,0.03171664056},age_qi_95={0.001589336837,0.0325303463122}],1:0.00214250958[&age_median=0.00214250958,age_mean=0.00314299171542,age_n=24,age_range={0.00025893882,0.0105924775},age_hpdi_95={0.00025893882,0.0084909206},age_qi_95={0.000336063869,0.0093840822825}],2:0.002385024305[&age_median=0.002385024305,age_mean=0.00347772203,age_n=24,age_range={8.04976e-06,0.01804822306},age_hpdi_95={8.04976e-06,0.00856947535},age_qi_95={3.592872125e-05,0.0125979431268}],3:0.01143610508[&age_median=0.01143610508,age_mean=0.0129765653142,age_n=24,age_range={0.00065845405,0.0345017538},age_hpdi_95={0.00065845405,0.02680187605},age_qi_95={0.00108433022075,0.0300743240938}],4:0.00867632523[&age_median=0.00867632523,age_mean=0.0094106594425,age_n=24,age_range={0.0020519503,0.02478755899},age_hpdi_95={0.0020519503,0.02391170639},age_qi_95={0.00207020855675,0.024283943745}]
0,1,2,3,4,4	0.022	0.0236010306901	0:0.015281094135[&age_median=0.015281094135,age_mean=0.0147897065823,age_n=22,age_range={0.00393303915,0.0296532107},age_hpdi_95={0.00393303915,0.02244266644},age_qi_95={0.00455900780625,0.0258676749635}],1:0.004654690535[&age_median=0.004654690535,age_mean=0.00597205442,age_n=22,age_range={0.00036429633,0.0133009039},age_hpdi_95={0.00036429633,0.01215360489},age_qi_95={0.00061432395225,0.0126985719197}],2:0.005042228735[&age_median=0.005042228735,age_mean=0.00632072880864,age_n=22,age_range={0.00035919219,0.01908542776},age_hpdi_95={0.00035919219,0.01647648123},age_qi_95={0.0005359822965,0.0177157308317}],3:0.003818233105[&age_median=0.003818233105,age_mean=0.00457329369,age_n=22,age_range={0.00011990211,0.01425346109},age_hpdi_95={0.00011990211,0.01194347173},age_qi_95={0.00043020147,0.013040716676}],4:0.008409231[&age_median=0.008409231,age_mean=0.00898222785545,age_n=22,age_range={0.00087444551,0.02781654193},age_hpdi_95={0.00087444551,0.01694453663},age_qi_95={0.00097704962525,0.0221087391475}]
0,1,2,3,4,3	0.02	0.0229753105768	0:0.00858855343[&age_median=0.00858855343,age_mean=0.0106979387345,age_n=20,age_range={0.00162322374,0.02611340084},age_hpdi_95={0.00162322374,0.02547413483},age_qi_95={0.0019038038555,0.0258097494852}],1:0.003292535585[&age_median=0.003292535585,age_mean=0.0047445215355,age_n=20,age_range={5.525617e-05,0.01181713738},age_hpdi_95={5.525617e-05,0.01051049237},age_qi_95={0.00010173501025,0.0111964810002}],2:0.007218948295[&age_median=0.007218948295,age_mean=0.0081901075365,age_n=20,age_range={0.00038150046,0.03015703606},age_hpdi_95={0.00038150046,0.01409654908},age_qi_95={0.0004379041355,0.0225283047445}],3:0.005181371975[&age_median=0.005181371975,age_mean=0.0052067016565,age_n=20,age_range={0.00074887377,0.01196484488},age_hpdi_95={0.00074887377,0.01035950347},age_qi_95={0.0009969218195,0.0112023077102}],4:0.01292352963[&age_median=0.01292352963,age_mean=0.0132550133505,age_n=20,age_range={0.00168139703,0.02843161662},age_hpdi_95={0.00168139703,0.02593686942},age_qi_95={0.0020647804265,0.0272466117}]
0,1,2,2,3,4	0.019	0.018555862419	0:0.01333052623[&age_median=0.01333052623,age_mean=0.0150853837579,age_n=19,age_range={0.00359314809,0.04130332871},age_hpdi_95={0.00359314809,0.04130332871},age_qi_95={0.003812523207,0.03631131815}],1:0.00070110259[&age_median=0.00070110259,age_mean=0.00357111851263,age_n=19,age_range={5.047357e-05,0.0214663526},age_hpdi_95={5.047357e-05,0.0214663526},age_qi_95={6.78768745e-05,0.017047486745}],2:0.00375521859[&age_median=0.00375521859,age_mean=0.00395520657579,age_n=19,age_range={0.0004480047,0.0083574183},age_hpdi_95={0.0004480047,0.0083574183},age_qi_95={0.000596071665,0.0080016252915}],3:0.00910534263[&age_median=0.00910534263,age_mean=0.00993845992105,age_n=19,age_range={0.00059861325,0.02311205026},age_hpdi_95={0.00059861325,0.02311205026},age_qi_95={0.0012257778855,0.0224394380905}],4:0.00956357951[&age_median=0.00956357951,age_mean=0.00978674436368,age_n=19,age_range={0.00049492771,0.02893720329},age_hpdi_95={0.00049492771,0.02893720329},age_qi_95={0.000611878957,0.022855794903}]
0,1,2,3,4,2	0.019	0.0214601869299	0:0.0183479207[&age_median=0.0183479207,age_mean=0.0178893390763,age_n=19,age_range={0.00258714282,0.03883254209},age_hpdi_95={0.00258714282,0.03883254209},age_qi_95={0.0042255180615,0.03438634526}],1:0.0042912525[&age_median=0.0042912525,age_mean=0.00593940323895,age_n=19,age_range={0.0008080669,0.01759066769},age_hpdi_95={0.0008080669,0.01759066769},age_qi_95={0.001043481619,0.017220573821}],2:0.0049929471[&age_median=0.0049929471,age_mean=0.00557195912158,age_n=19,age_range={0.00026598821,0.01805871199},age_hpdi_95={0.00026598821,0.01805871199},age_qi_95={0.0002772493115,0.0166569517705}],3:0.00296400086[&age_median=0.00296400086,age_mean=0.00366177817421,age_n=19,age_range={0.0001091968,0.00997914752},age_hpdi_95={0.0001091968,0.00997914752},age_qi_95={0.0001367642005,0.009218835053}],4:0.01176728831[&age_median=0.01176728831,age_mean=0.0124157214305,age_n=19,age_range={0.0001323325,0.02763372281},age_hpdi_95={0.0001323325,0.02763372281},age_qi_95={0.00172170136,0.0258230265485}]
